"","T_MAPCODE","prpinv_niaps","D3_niaps","B1i_niaps","B2i_niaps","prpinv_cfs_iat","D3_cfr_iat","B1i_cfr_iat","B2i_cfr_iat","prpinv_mapwaps","D1_mapwaps","B1i_mapwaps","B2i_mapwaps","prpinv_umgeni","D1_um","B1i_um","B2i_um","prpinv_max","D3_inv","B1i_inv","B2i_inv"
"1","AT15",0.0281856354804183,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0281856354804183,1,1,1
"2","AT16",0.0192554256051035,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0192554256051035,1,1,1
"3","AT17",0.0825571314630509,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0825571314630509,1,1,1
"4","AT18",0.0793810519349182,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0793810519349182,1,1,1
"5","AT19",0.0150706367820578,1,1,1,0.00392841993757172,1,1,1,NA,0,0,0,NA,0,0,0,0.0150706367820578,1,1,1
"6","AT20",0.0522558195344373,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0522558195344373,1,1,1
"7","AT21",0.142048056980819,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.142048056980819,1,1,1
"8","AT22",0.0991679365519152,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0991679365519152,1,1,1
"9","AT23",0.0000447294538980974,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0000447294538980974,1,1,1
"10","AT24",0.00472955371389826,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00472955371389826,1,1,1
"11","AT25",0.00230132422386963,1,1,1,0.00000938735468327539,1,1,1,NA,0,0,0,NA,0,0,0,0.00230132422386963,1,1,1
"12","AT26",0.264002121031352,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.264002121031352,1,1,1
"13","AT27",0.00532898469809895,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00532898469809895,1,1,1
"14","AT28",0.0395511279056453,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0395511279056453,1,1,1
"15","AT29",0.000875977793285906,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.000875977793285906,1,1,1
"16","AT30",0.00538599411250715,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00538599411250715,1,1,1
"17","AT31",0.061045880987269,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.061045880987269,1,1,1
"18","AT32",0.00771700482562029,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00771700482562029,1,1,1
"19","AT33",0.00132542704532233,1,1,1,0.0000411097228832831,1,1,1,NA,0,0,0,NA,0,0,0,0.00132542704532233,1,1,1
"20","AT34",0.00650939545010329,1,1,1,0.0000377302472877519,1,1,1,NA,0,0,0,NA,0,0,0,0.00650939545010329,1,1,1
