"","T_MAPCODE","lc_1","lc_2","lc_3","lc_4","lc_5","lc_6","lc_7","lc_8","ext_tot","ext_rem","prc_inv","EOO","AOO","B1i_inv","B2i_inv","D1_inv","D3_inv"
"1","AT15",14.5748,0.0228,0.002,0.0012,0,0,0,0,14.6008,14.5748,0,45.81732988,4,"LC","LC","LC","LC"
"2","AT16",50.7916,1.5216,0.0668,0.0864,0.38,0.5496,0,0.3732,53.7692,51.1648,1,158.7300091,4,"LC","LC","LC","LC"
"3","AT17",543.8892,47.6384,0.4696,5.178,97.258,0.0904,1.8284,32.8508,729.2028,576.74,6,4479.418635,44,"LC","LC","LC","LC"
"4","AT18",985.4428,46.7556,0.4148,2.1232,90.6864,0.0144,0.9264,49.2676,1175.6312,1034.7104,5,5899.127087,55,"LC","LC","LC","LC"
"5","AT19",1044.362,6.8396,1.9008,1.5808,5.7004,0.0132,0.006,17.4644,1077.8672,1061.8264,2,13147.0364,75,"LC","LC","LC","LC"
"6","AT20",18,2.2448,0.0892,12.7888,0,0.39,0.002,2.0016,35.5164,20.0016,10,115.0750943,3,"LC","LC","LC","LC"
"7","AT21",281.8196,17.9356,9.0576,18.3972,29.8148,0.0748,0.1292,29.078,386.3068,310.8976,9,2323.501603,26,"LC","LC","LC","LC"
"8","AT22",88.2424,33.0528,3.596,42.3192,43.9584,0.1168,0.048,4.1544,215.488,92.3968,4,946.9844025,13,"LC","LC","LC","LC"
"9","AT23",268.2676,22.5308,0.1236,9.1184,11.0316,0.0048,0.104,0.012,311.1928,268.2796,0,1798.098713,18,"LC","LC","LC","LC"
"10","AT24",2597.1272,168.8764,2.0328,54.8244,150.922,0.0532,1.3796,0.9192,2976.1348,2598.0464,0,11841.27979,74,"LC","LC","LC","LC"
"11","AT25",2104.238,8.8164,1.476,6.276,3.0756,0.1012,0,4.9824,2128.9656,2109.2204,0,11432.27995,68,"LC","LC","LC","LC"
"12","AT26",20.5856,2.2564,0.1196,0.2884,7.644,0,0,9.5884,40.4824,30.174,32,703.3072694,6,"CR","EN","VU","LC"
"13","AT27",1229.7364,3.5224,0.288,2.3584,2.5792,0.3768,0.0008,1.1172,1239.9792,1230.8536,0,16538.17698,68,"LC","LC","LC","LC"
"14","AT28",886.582,59.2348,1.0536,24.2292,35.904,0.026,1.8308,21.65,1030.5104,908.232,2,8464.25249,54,"LC","LC","LC","LC"
"15","AT29",767.5868,5.8052,0.6732,5.4792,4.2256,0.3748,0,0.4692,784.614,768.056,0,1803.9549,23,"LC","LC","LC","LC"
"16","AT30",625.2708,10.9716,2.344,8.5732,26.8176,0.0176,0.0088,0.0548,674.0584,625.3256,0,908.9116642,15,"LC","LC","LC","LC"
"17","AT31",204.3704,22.078,0.038,1.624,6.6248,0,0.2408,5.8256,240.8016,210.196,3,1244.820737,19,"LC","LC","LC","LC"
"18","AT32",3447.1656,44.9116,6.098,25.8092,66.0316,0.1016,2.5668,3.4996,3596.184,3450.6652,0,16791.80166,111,"LC","LC","LC","LC"
"19","AT33",483.5508,2.8392,0.9732,0.7872,3.124,0.006,0.0056,0.5196,491.8056,484.0704,0,5402.44638,38,"LC","LC","LC","LC"
"20","AT34",160.6464,1.668,0.1548,0.4096,3.5464,0.056,0.018,1.0276,167.5268,161.674,1,366.5261103,9,"LC","LC","LC","LC"
"21","AT35",17.9816,4.3784,0,0.1908,7.204,0,0,0.3928,30.1476,18.3744,2,85.62771439,6,"LC","LC","LC","LC"
"22","AT36",21.4644,3.8404,0.0032,5.4536,2.1304,0.1016,10.118,8.3,51.4116,29.7644,28,748.9482161,6,"LC","LC","LC","LC"
"23","AT37",95.7476,16.8064,0.0608,1.5372,51.9916,0.0708,0.0524,10.3796,176.6464,106.1272,10,1753.357094,14,"LC","LC","LC","LC"
"24","AT38",800.2284,102.0596,0.778,24.7132,293.258,0.83,19.45,49.5368,1290.854,849.7652,6,3614.052473,41,"LC","LC","LC","LC"
"25","AT39",216.8784,9.4396,0.0336,9.9416,8.1476,1.3132,0,0.1056,245.8596,216.984,0,1200.282188,16,"LC","LC","LC","LC"
"26","AT40",420.318,47.6636,0.13,40.6864,43.8236,0.2168,0.6368,42.842,596.3172,463.16,9,4454.141883,26,"LC","LC","LC","LC"
"27","AT41",199.1664,17.4088,0.1024,14.5064,63.2092,0.1468,4.2824,8.6992,307.5216,207.8656,4,1716.529991,20,"LC","LC","LC","LC"
"28","AT42",51.7304,4.1256,0.0264,0.58,3.3796,0.0056,0.0088,0,59.8564,51.7304,0,261.0963376,5,"LC","LC","LC","LC"
"29","AT43",264.9656,8.7552,0.8396,2.2956,8.4056,0.0092,0.038,0.8944,286.2032,265.86,0,1224.867412,13,"LC","LC","LC","LC"
"30","AT44",62.1252,19.9724,0.1012,73.1352,6.5576,0.3736,0.0624,1.13,163.4576,63.2552,2,542.2675896,7,"LC","LC","LC","LC"
"31","AT45",427.8508,79.3676,0.3772,6.7592,179.348,0.0616,0.6172,2.6436,697.0252,430.4944,1,2150.323235,24,"LC","LC","LC","LC"
"32","AT46",551.6024,6.466,1.358,4.0696,7.698,0.1732,0.024,0.4664,571.8576,552.0688,0,3798.219529,31,"LC","LC","LC","LC"
"33","AT47",886.0284,9.0408,0.9892,5.848,8.47,0.074,0,0.1252,910.5756,886.1536,0,2080.270095,28,"LC","LC","LC","LC"
"34","AT48",11.586,0.76,0.0036,5.8652,2.0568,0,0,0.1052,20.3768,11.6912,1,28.2881677,3,"LC","LC","LC","LC"
"35","AT49",5521.4964,42.2528,22.0328,23.084,35.1476,0.43,0.1548,2.5184,5647.1168,5524.0148,0,17378.90901,143,"LC","LC","LC","LC"
"36","AT50",499.994,18.766,0.6372,17.888,24.4908,0.0964,0.2216,15.4484,577.5424,515.4424,3,5641.342147,29,"LC","LC","LC","LC"
"37","AT51",1674.1876,41.4396,2.9284,72.394,148.5256,2.0644,2.3424,19.5208,1963.4028,1693.7084,1,7144.44123,62,"LC","LC","LC","LC"
"38","AT52",30.1796,4.216,0,0.0252,9.114,0,0,0.062,43.5968,30.2416,0,59.00719591,3,"LC","LC","LC","LC"
"39","AT53",14.6728,2.0232,0.0088,5.8448,0.5772,0,2.0992,1.8768,27.1028,16.5496,11,42.211326,3,"LC","LC","LC","LC"
"40","AT54",166.8232,1.0196,0.3336,0.038,1.426,0,0.004,18.076,187.7204,184.8992,10,3542.29472,17,"LC","LC","LC","LC"
"41","AT55",740.9276,8.8304,0.5152,2.0296,7.2928,0.0976,0.024,0.67,760.3872,741.5976,0,1687.656616,20,"LC","LC","LC","LC"
"42","AT56",447.0168,65.5988,0.54,65.1216,92.0744,0.7976,11.536,18.9324,701.6176,465.9492,4,1915.210447,30,"LC","LC","LC","LC"
"43","AT57",94.5828,9.2804,2.4812,11.866,7.4792,0.2652,0.1832,10.9268,137.0648,105.5096,10,2803.464089,11,"LC","LC","LC","LC"
"44","AT58",2220.6688,12.938,2.5696,5.6268,9.81,0.0816,0.0236,0.6264,2252.3448,2221.2952,0,7241.287773,70,"LC","LC","LC","LC"
"45","AZa1",16.0772,0.3704,0.0008,0.0332,0.0692,0,0.044,2.1096,18.7044,18.1868,12,561.7953257,5,"LC","LC","LC","LC"
"46","AZa2",83.212,44.0264,1.2644,10.5032,173.1772,0.0516,5.6008,32.9604,350.796,116.1724,28,11457.24672,34,"LC","LC","LC","LC"
"47","AZa3",504.3804,52.944,16.6428,10.2412,259.0696,0.9152,0.02,26.6032,870.8164,530.9836,5,43030.96213,97,"LC","LC","LC","LC"
"48","AZa4",1153.5564,92.1556,7.3076,19.2344,407.358,6.1288,6.7492,94.8564,1787.3464,1248.4128,8,43323.69605,113,"LC","LC","LC","LC"
"49","AZa5",2094.1228,233.212,299.1976,35.4304,528.3,8.5496,23.83,12.5252,3235.1676,2106.648,1,33725.68204,127,"LC","LC","LC","LC"
"50","AZa6",280.402,49.9704,6.8808,47.4756,250.6732,0.5884,11.7884,5.6276,653.4064,286.0296,2,12011.61527,53,"LC","LC","LC","LC"
"51","AZa7",854.4552,79.8992,23.7732,15.732,283.6452,1.852,21.8696,4.9092,1286.1356,859.3644,1,318531.5035,87,"LC","LC","LC","LC"
"52","AZd1",0.3172,0.5792,0.0664,0,0,5.4776,0,0,6.4404,0.3172,0,73.51331765,0,"LC","LC","LC","LC"
"53","AZd2",9.5168,0.19,0.002,0.0276,0,3.4796,0,0,13.216,9.5168,0,2742.359744,1,"LC","LC","LC","LC"
"54","AZd3",214.6956,2.4112,0.1296,2.4628,0,0.0504,0.002,0.5216,220.2732,215.2172,0,191365.9833,39,"LC","LC","LC","LC"
"55","AZd4",26.2448,0.8148,0.0124,0.6892,0,0.1444,0.1512,0.0252,28.082,26.27,0,35488.77075,4,"LC","LC","LC","LC"
"56","AZi1",1175.88,63.3588,1.9448,5.6828,90.1096,2.0616,0.6196,24.2476,1363.9048,1200.1276,2,37881.67528,195,"LC","LC","LC","LC"
