"","T_MAPCODE","inv_deg","sum_IAP","sumrem_sa","sum_aoi","sum_sa","prop_in_aoi","prop_inv","D1_mapwaps","EOO","AOO","B1i_mapwaps","B2i_mapwaps"
"1","AZa7",1,0.0048,859.3644,81.234,1286.1356,0.0631613027428834,5.58552344034731e-06,"LC",318531.5035,87,"LC","LC"
"2","CB4",1,1.8,641.0904,5.5288,1299.9024,0.00425324239727537,0.00280771635326313,"LC",3086.329174,35,"LC","LC"
"3","CB5",1,21.9284,899.2332,68.614,1650.386,0.0415745165070474,0.0243856654758743,"LC",3870.636975,40,"LC","LC"
"4","FOa1",1,0.0564,133.4168,24.506,176.5572,0.138799210680731,0.000422735367659845,"LC",78523.07413,34,"LC","LC"
"5","FOz2",1,5.1144,182.4208,52.6876,214.0732,0.246119551630003,0.0280362765649531,"LC",181409.8919,61,"LC","LC"
"6","FOz3",1,34.0644,884.3512,77.0612,1062.2748,0.0725435640570594,0.0385190860825428,"LC",151896.5129,183,"LC","LC"
"7","FOz4",1,12.5072,288.9104,102.2348,389.3584,0.262572478210307,0.0432909303368795,"LC",47077.72723,50,"LC","LC"
"8","FOz5",1,13.12,946.1864,24.8172,1029.478,0.0241065860562343,0.0138661895795585,"LC",178728.6377,182,"LC","LC"
"9","FOz9",1,1.542,81.2604,36.0392,81.6448,0.441414517519793,0.0189760326062879,"LC",40154.37645,19,"LC","LC"
"10","Gd10",1,0.0028,2753.284,46.684,2830.788,0.0164915210888276,1.01696737423382e-06,"LC",11951.10056,90,"LC","LC"
"11","Gd4",1,57.1768,5993.8588,2293.6352,6647.026,0.345061866765678,0.00953923038694205,"LC",27746.50666,174,"LC","LC"
"12","Gd5",1,5.3424,1116.0928,441.3788,1237.522,0.35666339669113,0.00478669874046316,"LC",6787.27755,47,"LC","LC"
"13","Gd6",1,0.2984,21.5476,11.4948,21.6172,0.531743241492885,0.0138484100317437,"LC",7312.49147,9,"LC","LC"
"14","Gd7",1,1.4504,1345.922,466.094,1346.9464,0.346037526066368,0.00107762559791726,"LC",8340.146353,44,"LC","LC"
"15","Gd8",1,3.2204,17291.3664,533.2536,20169.2884,0.0264388901296091,0.000186243234080101,"LC",46169.09771,357,"LC","LC"
"16","Gm22",1,3.2004,352.086,351.3704,939.1744,0.374126892726207,0.00908982464511511,"LC",3102.104281,25,"LC","LC"
"17","Gm23",1,12.1868,759.7868,533.9896,1373.9432,0.388654785729133,0.0160397627334405,"LC",12576.35682,48,"LC","LC"
"18","Gm24",1,0.1456,9.3328,1.1092,10.0012,0.110906691197056,0.0156008914795131,"LC",5185.150507,4,"LC","LC"
"19","Gm28",1,2.4248,91.556,30.168,93.8756,0.321361461338196,0.0264843374546725,"LC",808.2269192,10,"LC","LC"
"20","Gm31",1,1.6212,536.1616,287.4208,1048.1812,0.274209077590783,0.0030237152380924,"LC",1690.665584,22,"LC","LC"
"21","Gm4",1,0.3868,7447.7704,40.6088,14254.748,0.00284879115365631,5.19350059448664e-05,"LC",35443.33609,258,"LC","LC"
"22","Gm5",1,0.546,2462.3852,27.42,3469.5508,0.00790304035899979,0.000221736225510127,"LC",37148.60795,228,"LC","LC"
"23","Gs10",1,236.2856,7576.2196,4322.1856,10944.6128,0.394914436808582,0.031187797143578,"LC",54121.64895,266,"LC","LC"
"24","Gs12",1,266.3784,4698.084,8706.804,8728.1252,0.997557184445521,0.0566993693599348,"LC",16700.91936,166,"LC","LC"
"25","Gs13",1,1.3496,148.2664,492.96,492.96,1,0.00910253435707618,"LC",1438.42379,16,"LC","LC"
"26","Gs14",1,3.2024,2135.8588,518.2952,5281.672,0.0981308949135804,0.00149935005066814,"LC",11307.13894,96,"LC","LC"
"27","Gs19",1,2.7564,1334.6488,39.1188,3024.2364,0.0129350999148082,0.00206526241210422,"LC",21538.63015,107,"LC","LC"
"28","Gs20",1,0.9916,2257.522,90.6092,6280.594,0.0144268519824717,0.00043924267404703,"LC",24558.33591,160,"LC","LC"
"29","Gs3",1,15.3488,1563.8912,384.1432,1742.278,0.220483298302567,0.00981449348906113,"LC",16228.08381,61,"LC","LC"
"30","Gs4",1,17.2852,4242.93,2823.0248,7440.426,0.379417092515939,0.0040738829063878,"LC",24918.266,169,"LC","LC"
"31","Gs6",1,8.8456,3303.6124,1837.5488,5227.4684,0.351517916397161,0.00267755381957036,"LC",41839.55101,133,"LC","LC"
"32","Gs9",1,8.6732,2020.0288,431.1276,6972.2336,0.0618349333562203,0.0042936021506228,"LC",23010.69293,135,"LC","LC"
"33","SVcb20",1,10.948,6219.6988,571.6112,10110.8896,0.0565342143583488,0.00176021385472879,"LC",15278.59242,146,"LC","LC"
"34","SVcb21",1,129.8608,3045.662,1960.8616,4147.7392,0.472754313964581,0.0426379552294378,"LC",8552.26669,79,"LC","LC"
"35","SVcb22",1,0.06,0.5316,0.602,0.602,1,0.112866817155756,"LC",1.114277259,0,"LC","LC"
"36","SVl1",1,24.0052,1579.2596,1641.7652,2090.6908,0.785274034783145,0.0152002875271425,"LC",11749.4717,55,"LC","LC"
"37","SVl10",1,4.2264,615.1964,505.4064,942.7836,0.536078905063686,0.00687000118986392,"LC",2079.966729,23,"LC","LC"
"38","SVl11",1,0.2056,596.5872,16.1032,630.6152,0.0255356991077919,0.00034462690449946,"LC",1310.267225,18,"LC","LC"
"39","SVl13",1,0.714,72.4612,21.1952,109.4832,0.193593172285794,0.00985354920978399,"LC",4106.51579,19,"LC","LC"
"40","SVl27",1,16.0548,426.688,342.7904,539.908,0.634905206072146,0.0376265561721914,"LC",926.8109621,14,"LC","LC"
"41","SVl3",1,6.2508,14882.14,1811.2948,19839.1584,0.0912989736500113,0.000420020239024764,"LC",48356.32851,319,"LC","LC"
"42","SVl6",1,0.0416,757.7016,57.3736,760.2468,0.0754670720087214,5.4902879972802e-05,"LC",5300.610784,32,"LC","LC"
"43","SVl7",1,3.9268,286.2132,33.1352,323.4536,0.102441895839156,0.0137198424111816,"LC",6210.888853,35,"LC","LC"
"44","SVl8",1,10.7732,1748.3556,368.6096,3399.5656,0.10842844156324,0.00616190436316273,"LC",9479.190325,68,"LC","LC"
"45","SVl9",1,31.0788,1115.6136,2053.6652,3562.4732,0.576471761247214,0.0278580325661143,"LC",8700.793382,66,"LC","LC"
"46","SVmp1",1,0.0736,8133.022,660.5148,8797.3088,0.0750814612759757,9.04952673188392e-06,"LC",13632.69887,137,"LC","LC"
"47","SVmp2",1,0.1972,2718.2392,502.3964,2785.7408,0.180345709119815,7.25469634901888e-05,"LC",16194.61039,108,"LC","LC"
"48","SVmp3",1,0.0424,276.878,95.34,277.0592,0.344114182095379,0.000153136038255116,"LC",821.9491823,11,"LC","LC"
"49","SVs1",1,4.806,1972.284,319.0884,2706.5924,0.11789303775478,0.00243676874121577,"LC",5121.834748,56,"LC","LC"
"50","SVs2",1,7.9148,1631.75,787.0848,2215.6012,0.355246603043905,0.00485049793166845,"LC",8207.216277,73,"LC","LC"
"51","SVs4",1,1.598,325.9052,178.9732,803.1036,0.222851945875974,0.00490326634861917,"LC",4283.35206,25,"LC","LC"
"52","SVs6",1,129.588,7037.5756,2289.4188,10185.4844,0.224772697113944,0.0184137275910755,"LC",64156.40512,297,"LC","LC"
"53","SVs7",1,0.596,4782.816,165.7856,7762.2768,0.0213578572719798,0.000124612780420572,"LC",32535.59538,194,"LC","LC"
