"","T_MAPCODE","inv_deg","sum_IAT","sumrem_aoi","sum_aoi","sumrem_sa","prop_rem_aoi","prop_inv","D3test","YEAR"
"1","AT19",1,4.1713,1061.557,1077.6099,1061.8264,0.999746286210251,0.00392841993757172,"LC",2023
"2","AT25",1,0.0198,646.1401,653.5935,2109.2204,0.306340721908436,0.00000938735468327539,"LC",2023
"3","AT33",1,0.0199,393.4632,401.0032,484.0704,0.812822267174361,0.0000411097228832831,"LC",2023
"4","AT34",1,0.0061,161.707,167.5385,161.674,1.00020411445254,0.0000377302472877519,"LC",2023
"5","AT36",1,0.0781,26.4508,46.114,29.7644,0.888672373708188,0.00262394000886966,"LC",2023
"6","AT37",1,4.0593,105.0727,174.8563,106.1272,0.990063810220189,0.0382493837583579,"LC",2023
"7","AT40",1,1.209,459.2037,589.4888,463.16,0.991458027463512,0.00261032904395889,"LC",2023
"8","AT43",1,0.0298,265.8798,286.1989,265.86,1.00007447528775,0.000112089069435041,"LC",2023
"9","AT46",1,0.1495,552.07,571.9122,552.0688,1.00000217364213,0.000270799581501436,"LC",2023
"10","AT49",1,0.0415,2217.7833,2261.1996,5524.0148,0.401480332746393,0.00000751265184879664,"LC",2023
"11","AT50",1,0.4689,513.5109,574.2084,515.4424,0.99625273357411,0.000909703974682719,"LC",2023
"12","AT51",1,1.9873,1692.274,1961.7189,1693.7084,0.999153100970628,0.00117334247146675,"LC",2023
"13","AT54",1,0.2955,183.9521,186.6303,184.8992,0.994877749606272,0.00159816808293384,"LC",2023
"14","AT55",1,0.0164,741.5483,760.3759,741.5976,0.999933521899208,0.0000221144189247646,"LC",2023
"15","AT58",1,0.0179,2221.2311,2252.3082,2221.2952,0.999971142961998,0.00000805836162613596,"LC",2023
"16","AZa1",1,0.0774,18.1793,18.7052,18.1868,0.999587612994039,0.00425583390151099,"LC",2023
"17","AZa2",1,7.8494,115.6731,348.4591,116.1724,0.995702077257593,0.0675668231008398,"LC",2023
"18","AZa6",1,0.0696,284.6134,649.8292,286.0296,0.995048764183847,0.000243331459401405,"LC",2023
"19","AZd3",1,0.236,183.037,185.0335,215.2172,0.850475705473354,0.00109656663129155,"LC",2023
"20","AZi1",1,0.002,107.3045,166.6561,1200.1276,0.0894109093066437,0.00000166648946328707,"LC",2023
"21","AZi6",1,0.0002,260.7923,304.3875,4534.9768,0.0575068653052426,0.0000000441016589103609,"LC",2023
"22","AZi7",1,0.0033,27.4464,33.6729,1983.6596,0.0138362448879838,0.00000166359187836461,"LC",2023
"23","AZi8",1,0.0592,143.9496,407.2313,143.7668,1.00127150357384,0.000411777962645061,"LC",2023
"24","FFa1",1,0.4088,52.9555,180.0582,52.9628,0.999862167408068,0.00771862514821724,"LC",2023
"25","FFa2",1,14.0008,168.8853,501.6498,168.948,0.999628879892038,0.0828704690200535,"LC",2023
"26","FFa3",1,9.9291,137.098,477.2055,136.9996,1.00071825027226,0.0724753940887419,"LC",2023
"27","FFa4",1,0.993,5.1294,35.85,5.122,1.00144474814526,0.193869582194455,"LC",2023
