"","T_MAPCODE","inv_deg","sum_IAP","sumrem_sa","sum_aoi","sum_sa","prop_in_aoi","prop_inv","D1_um","EOO","AOO","B1i_um","B2i_um"
"1","CB3",1,0.0716,672.314,164.1,4141.8068,0.0396203898260054,0.000106497856656265,"LC",8437.213536,74,"LC","LC"
"2","FOz3",1,0.962,884.3512,96.0812,1062.2748,0.090448535539015,0.00108780312617883,"LC",151896.5129,183,"LC","LC"
"3","FOz5",1,0.1496,946.1864,25.7776,1029.5012,0.0250389217613345,0.000158108381181552,"LC",178728.6377,182,"LC","LC"
"4","FOz7",1,0.0484,514.9484,18.8368,680.4548,0.0276826616551165,0.0000939899997747347,"LC",25652.53,82,"LC","LC"
"5","Gs10",1,0.0004,7576.2196,0.6168,10944.6128,0.0000563564934887418,0.0000000527967800722144,"LC",54121.64895,266,"LC","LC"
"6","Gs11",1,0.0076,1020.7256,93.1224,2342.158,0.039759230589909,0.00000744568373713758,"LC",5757.899612,49,"LC","LC"
"7","Gs19",1,1.21,1334.6488,478.1304,3024.2364,0.158099545392682,0.000906605542971304,"LC",21538.63015,107,"LC","LC"
"8","Gs20",1,0.4468,2257.522,451.6152,6280.594,0.0719064470653572,0.000197916122190614,"LC",24558.33591,160,"LC","LC"
"9","Gs8",1,2.2136,1664.26,524.1348,2862.4156,0.183109259186542,0.00133008063643902,"LC",9437.14873,62,"LC","LC"
"10","Gs9",1,8.342,2020.0288,1220.1752,6972.2336,0.175004922382406,0.00412964409220304,"LC",23010.69293,135,"LC","LC"
"11","SVs3",1,1.1672,1014.296,420.7332,1533.5048,0.274360536726067,0.00115074889381403,"LC",9073.263412,55,"LC","LC"
"12","SVs5",1,0.244,250.3336,446.31,1812.6008,0.246226306421138,0.000974699361172452,"LC",7395.012058,55,"LC","LC"
"13","SVs6",1,2.0216,7037.5756,416.6044,10185.4844,0.0409017758644842,0.00028725801538814,"LC",64156.40512,297,"LC","LC"
