"","...1","LC","T_MAPCODE","n","km2","mapwaps"
"1",401,1,"AZa7",200978,80.3912,0
"2",402,2,"AZa7",1935,0.774,0
"3",403,3,"AZa7",117,0.0468,0
"4",404,4,"AZa7",15,0.006,0
"5",406,6,"AZa7",27,0.0108,0
"6",521,1,"CB4",8221,3.2884,0
"7",522,2,"CB4",98,0.0392,0
"8",524,4,"CB4",756,0.3024,0
"9",529,1,"CB5",65472,26.1888,0
"10",530,2,"CB5",9283,3.7132,0
"11",531,3,"CB5",27,0.0108,0
"12",532,4,"CB5",23750,9.5,0
"13",533,5,"CB5",11492,4.5968,0
"14",534,6,"CB5",73,0.0292,0
"15",535,7,"CB5",145,0.058,0
"16",1329,1,"FOa1",60881,24.3524,0
"17",1330,2,"FOa1",186,0.0744,0
"18",1331,3,"FOa1",56,0.0224,0
"19",1332,4,"FOa1",1,4e-04,0
"20",1345,1,"FOa3",5,0.002,0
"21",1361,1,"FOz2",102152,40.8608,0
"22",1362,2,"FOz2",11329,4.5316,0
"23",1363,3,"FOz2",6,0.0024,0
"24",1364,4,"FOz2",39,0.0156,0
"25",1365,5,"FOz2",38,0.0152,0
"26",1367,7,"FOz2",968,0.3872,0
"27",1369,1,"FOz3",40978,16.3912,0
"28",1370,2,"FOz3",5693,2.2772,0
"29",1371,3,"FOz3",4,0.0016,0
"30",1372,4,"FOz3",47,0.0188,0
"31",1373,5,"FOz3",72,0.0288,0
"32",1375,7,"FOz3",395,0.158,0
"33",1377,1,"FOz4",107719,43.0876,0
"34",1378,2,"FOz4",76614,30.6456,0
"35",1379,3,"FOz4",4,0.0016,0
"36",1380,4,"FOz4",5,0.002,0
"37",1381,5,"FOz4",139,0.0556,0
"38",1383,7,"FOz4",4437,1.7748,0
"39",1385,1,"FOz5",25616,10.2464,0
"40",1386,2,"FOz5",2521,1.0084,0
"41",1387,3,"FOz5",4,0.0016,0
"42",1388,4,"FOz5",47,0.0188,0
"43",1389,5,"FOz5",136,0.0544,0
"44",1391,7,"FOz5",217,0.0868,0
"45",1417,1,"FOz9",86117,34.4468,0
"46",1418,2,"FOz9",105,0.042,0
"47",1420,4,"FOz9",1,4e-04,0
"48",1777,1,"Gd10",113227,45.2908,0
"49",1778,2,"Gd10",378,0.1512,0
"50",1779,3,"Gd10",3096,1.2384,0
"51",1781,5,"Gd10",2,8e-04,0
"52",1801,1,"Gd4",5018812,2007.5248,0
"53",1802,2,"Gd4",84485,33.794,0
"54",1803,3,"Gd4",1636,0.6544,0
"55",1804,4,"Gd4",110013,44.0052,0
"56",1805,5,"Gd4",143336,57.3344,0
"57",1806,6,"Gd4",119,0.0476,0
"58",1807,7,"Gd4",79081,31.6324,0
"59",1809,1,"Gd5",1076912,430.7648,0
"60",1810,2,"Gd5",3278,1.3112,0
"61",1811,3,"Gd5",138,0.0552,0
"62",1812,4,"Gd5",8954,3.5816,0
"63",1813,5,"Gd5",164,0.0656,0
"64",1814,6,"Gd5",1,4e-04,0
"65",1815,7,"Gd5",313,0.1252,0
"66",1817,1,"Gd6",27935,11.174,0
"67",1818,2,"Gd6",52,0.0208,0
"68",1819,3,"Gd6",1,4e-04,0
"69",1823,7,"Gd6",1,4e-04,0
"70",1825,1,"Gd7",1160854,464.3416,0
"71",1826,2,"Gd7",478,0.1912,0
"72",1827,3,"Gd7",99,0.0396,0
"73",1828,4,"Gd7",5,0.002,0
"74",1829,5,"Gd7",173,0.0692,0
"75",1833,1,"Gd8",1323311,529.3244,0
"76",1834,2,"Gd8",1125,0.45,0
"77",1835,3,"Gd8",29,0.0116,0
"78",1836,4,"Gd8",200,0.08,0
"79",1837,5,"Gd8",407,0.1628,0
"80",2073,1,"Gm22",73652,29.4608,0
"81",2074,2,"Gm22",65319,26.1276,0
"82",2075,3,"Gm22",157,0.0628,0
"83",2076,4,"Gm22",9391,3.7564,0
"84",2077,5,"Gm22",7988,3.1952,0
"85",2078,6,"Gm22",711,0.2844,0
"86",2079,7,"Gm22",201490,80.596,0
"87",2081,1,"Gm23",163061,65.2244,0
"88",2082,2,"Gm23",108803,43.5212,0
"89",2083,3,"Gm23",275,0.11,0
"90",2084,4,"Gm23",13300,5.32,0
"91",2085,5,"Gm23",2299,0.9196,0
"92",2086,6,"Gm23",291,0.1164,0
"93",2087,7,"Gm23",319349,127.7396,0
"94",2089,1,"Gm24",1944,0.7776,0
"95",2090,2,"Gm24",293,0.1172,0
"96",2092,4,"Gm24",3,0.0012,0
"97",2095,7,"Gm24",101,0.0404,0
"98",2121,1,"Gm28",64436,25.7744,0
"99",2122,2,"Gm28",1072,0.4288,0
"100",2124,4,"Gm28",6,0.0024,0
"101",2125,5,"Gm28",377,0.1508,0
"102",2127,7,"Gm28",2088,0.8352,0
"103",2153,1,"Gm31",62836,25.1344,0
"104",2154,2,"Gm31",48269,19.3076,0
"105",2155,3,"Gm31",73,0.0292,0
"106",2156,4,"Gm31",955,0.382,0
"107",2157,5,"Gm31",800,0.32,0
"108",2158,6,"Gm31",82,0.0328,0
"109",2159,7,"Gm31",238877,95.5508,0
"110",2161,1,"Gm4",92361,36.9444,0
"111",2162,2,"Gm4",3648,1.4592,0
"112",2163,3,"Gm4",144,0.0576,0
"113",2164,4,"Gm4",1251,0.5004,0
"114",2165,5,"Gm4",927,0.3708,0
"115",2166,6,"Gm4",24,0.0096,0
"116",2167,7,"Gm4",1319,0.5276,0
"117",2169,1,"Gm5",59096,23.6384,0
"118",2170,2,"Gm5",6038,2.4152,0
"119",2171,3,"Gm5",33,0.0132,0
"120",2172,4,"Gm5",884,0.3536,0
"121",2173,5,"Gm5",299,0.1196,0
