"","LC","T_MAPCODE","niaps_arc","n","km2"
"1",1,"AT15",0,31640,12.656
"2",2,"AT15",0,33,0.0132
"3",3,"AT15",0,5,0.002
"4",4,"AT15",0,3,0.0012
"5",1,"AT16",0,114889,45.9556
"6",2,"AT16",0,3375,1.35
"7",3,"AT16",0,152,0.0608
"8",4,"AT16",0,211,0.0844
"9",5,"AT16",0,950,0.38
"10",6,"AT16",0,1374,0.5496
"11",1,"AT17",0,1226020,490.408
"12",2,"AT17",0,105203,42.0812
"13",3,"AT17",0,1148,0.4592
"14",4,"AT17",0,12891,5.1564
"15",5,"AT17",0,242748,97.0992
"16",6,"AT17",0,226,0.0904
"17",7,"AT17",0,3941,1.5764
"18",1,"AT18",0,2167480,866.992
"19",2,"AT18",0,93568,37.4272
"20",3,"AT18",0,898,0.3592
"21",4,"AT18",0,5193,2.0772
"22",5,"AT18",0,225821,90.3284
"23",6,"AT18",0,36,0.0144
"24",7,"AT18",0,569,0.2276
"25",1,"AT19",0,2553509,1021.4036
"26",2,"AT19",0,16849,6.7396
"27",3,"AT19",0,4740,1.896
"28",4,"AT19",0,3928,1.5712
"29",5,"AT19",0,14180,5.672
"30",6,"AT19",0,33,0.0132
"31",7,"AT19",0,15,0.006
"32",1,"AT20",0,46823,18.7292
"33",2,"AT20",0,5375,2.15
"34",3,"AT20",0,223,0.0892
"35",4,"AT20",0,31887,12.7548
"36",6,"AT20",0,975,0.39
"37",7,"AT20",0,5,0.002
"38",1,"AT21",0,584925,233.97
"39",2,"AT21",0,36554,14.6216
"40",3,"AT21",0,21745,8.698
"41",4,"AT21",0,45737,18.2948
"42",5,"AT21",0,73866,29.5464
"43",6,"AT21",0,187,0.0748
"44",7,"AT21",0,240,0.096
"45",1,"AT22",0,190623,76.2492
"46",2,"AT22",0,73459,29.3836
"47",3,"AT22",0,8557,3.4228
"48",4,"AT22",0,105545,42.218
"49",5,"AT22",0,108887,43.5548
"50",6,"AT22",0,291,0.1164
"51",7,"AT22",0,120,0.048
"52",1,"AT23",0,614292,245.7168
"53",2,"AT23",0,52812,21.1248
"54",3,"AT23",0,298,0.1192
"55",4,"AT23",0,22770,9.108
"56",5,"AT23",0,27570,11.028
"57",6,"AT23",0,12,0.0048
"58",7,"AT23",0,260,0.104
"59",1,"AT24",0,6156740,2462.696
"60",2,"AT24",0,395558,158.2232
"61",3,"AT24",0,4929,1.9716
"62",4,"AT24",0,136913,54.7652
"63",5,"AT24",0,376590,150.636
"64",6,"AT24",0,133,0.0532
"65",7,"AT24",0,3208,1.2832
"66",1,"AT25",0,5048201,2019.2804
"67",2,"AT25",0,21113,8.4452
"68",3,"AT25",0,3631,1.4524
"69",4,"AT25",0,15597,6.2388
"70",5,"AT25",0,7689,3.0756
"71",6,"AT25",0,253,0.1012
"72",1,"AT26",0,55752,22.3008
"73",2,"AT26",0,4738,1.8952
"74",3,"AT26",0,235,0.094
"75",4,"AT26",0,695,0.278
"76",5,"AT26",0,18978,7.5912
"77",1,"AT27",0,2982305,1192.922
"78",2,"AT27",0,8681,3.4724
"79",3,"AT27",0,717,0.2868
"80",4,"AT27",0,5804,2.3216
"81",5,"AT27",0,6446,2.5784
"82",6,"AT27",0,931,0.3724
"83",7,"AT27",0,2,8e-04
"84",1,"AT28",0,1990690,796.276
"85",2,"AT28",0,125549,50.2196
"86",3,"AT28",0,2480,0.992
"87",4,"AT28",0,60418,24.1672
"88",5,"AT28",0,89215,35.686
"89",6,"AT28",0,65,0.026
"90",7,"AT28",0,3073,1.2292
"91",1,"AT29",0,1891505,756.602
"92",2,"AT29",0,14416,5.7664
"93",3,"AT29",0,1683,0.6732
"94",4,"AT29",0,13679,5.4716
"95",5,"AT29",0,10564,4.2256
"96",6,"AT29",0,935,0.374
"97",1,"AT30",0,1506115,602.446
"98",2,"AT30",0,26771,10.7084
"99",3,"AT30",0,5844,2.3376
"100",4,"AT30",0,21423,8.5692
"101",5,"AT30",0,66989,26.7956
"102",6,"AT30",0,44,0.0176
"103",7,"AT30",0,22,0.0088
"104",1,"AT31",0,462409,184.9636
"105",2,"AT31",0,50403,20.1612
"106",3,"AT31",0,94,0.0376
"107",4,"AT31",0,4058,1.6232
"108",5,"AT31",0,16485,6.594
"109",7,"AT31",0,433,0.1732
"110",1,"AT32",0,8017487,3206.9948
"111",2,"AT32",0,103968,41.5872
"112",3,"AT32",0,14986,5.9944
"113",4,"AT32",0,64388,25.7552
"114",5,"AT32",0,164882,65.9528
"115",6,"AT32",0,254,0.1016
"116",7,"AT32",0,5350,2.14
"117",1,"AT33",0,1204754,481.9016
"118",2,"AT33",0,6688,2.6752
"119",3,"AT33",0,2428,0.9712
"120",4,"AT33",0,1965,0.786
"121",5,"AT33",0,7810,3.124
"122",6,"AT33",0,15,0.006
