"","nlc2022_7class","T_MAPCODE","niaps_arc","n"
"1","1","AT15","0",31640
"2","2","AT15","0",33
"3","3","AT15","0",5
"4","4","AT15","0",3
"5","5","AT15","0",0
"6","6","AT15","0",0
"7","7","AT15","0",0
"8","NaN","AT15","0",0
"9","1","AT16","0",114889
"10","2","AT16","0",3375
"11","3","AT16","0",152
"12","4","AT16","0",211
"13","5","AT16","0",950
"14","6","AT16","0",1374
"15","7","AT16","0",0
"16","NaN","AT16","0",0
"17","1","AT17","0",1226020
"18","2","AT17","0",105203
"19","3","AT17","0",1148
"20","4","AT17","0",12891
"21","5","AT17","0",242748
"22","6","AT17","0",226
"23","7","AT17","0",3941
"24","NaN","AT17","0",0
"25","1","AT18","0",2167480
"26","2","AT18","0",93568
"27","3","AT18","0",898
"28","4","AT18","0",5193
"29","5","AT18","0",225821
"30","6","AT18","0",36
"31","7","AT18","0",569
"32","NaN","AT18","0",0
"33","1","AT19","0",2553509
"34","2","AT19","0",16849
"35","3","AT19","0",4740
"36","4","AT19","0",3928
"37","5","AT19","0",14180
"38","6","AT19","0",33
"39","7","AT19","0",15
"40","NaN","AT19","0",0
"41","1","AT20","0",46823
"42","2","AT20","0",5375
"43","3","AT20","0",223
"44","4","AT20","0",31887
"45","5","AT20","0",0
"46","6","AT20","0",975
"47","7","AT20","0",5
"48","NaN","AT20","0",0
"49","1","AT21","0",584925
"50","2","AT21","0",36554
"51","3","AT21","0",21745
"52","4","AT21","0",45737
"53","5","AT21","0",73866
"54","6","AT21","0",187
"55","7","AT21","0",240
"56","NaN","AT21","0",0
"57","1","AT22","0",190623
"58","2","AT22","0",73459
"59","3","AT22","0",8557
"60","4","AT22","0",105545
"61","5","AT22","0",108887
"62","6","AT22","0",291
"63","7","AT22","0",120
"64","NaN","AT22","0",0
"65","1","AT23","0",614292
"66","2","AT23","0",52812
"67","3","AT23","0",298
"68","4","AT23","0",22770
"69","5","AT23","0",27570
"70","6","AT23","0",12
"71","7","AT23","0",260
"72","NaN","AT23","0",0
"73","1","AT24","0",6156740
"74","2","AT24","0",395558
"75","3","AT24","0",4929
"76","4","AT24","0",136913
"77","5","AT24","0",376590
"78","6","AT24","0",133
"79","7","AT24","0",3208
"80","NaN","AT24","0",0
"81","1","AT25","0",5048201
"82","2","AT25","0",21113
"83","3","AT25","0",3631
"84","4","AT25","0",15597
"85","5","AT25","0",7689
"86","6","AT25","0",253
"87","7","AT25","0",0
"88","NaN","AT25","0",0
"89","1","AT26","0",55752
"90","2","AT26","0",4738
"91","3","AT26","0",235
"92","4","AT26","0",695
"93","5","AT26","0",18978
"94","6","AT26","0",0
"95","7","AT26","0",0
"96","NaN","AT26","0",0
"97","1","AT27","0",2982305
"98","2","AT27","0",8681
"99","3","AT27","0",717
"100","4","AT27","0",5804
"101","5","AT27","0",6446
"102","6","AT27","0",931
"103","7","AT27","0",2
"104","NaN","AT27","0",0
"105","1","AT28","0",1990690
"106","2","AT28","0",125549
"107","3","AT28","0",2480
"108","4","AT28","0",60418
"109","5","AT28","0",89215
"110","6","AT28","0",65
"111","7","AT28","0",3073
"112","NaN","AT28","0",0
"113","1","AT29","0",1891505
"114","2","AT29","0",14416
"115","3","AT29","0",1683
"116","4","AT29","0",13679
"117","5","AT29","0",10564
"118","6","AT29","0",935
"119","7","AT29","0",0
"120","NaN","AT29","0",0
"121","1","AT30","0",1506115
"122","2","AT30","0",26771
"123","3","AT30","0",5844
"124","4","AT30","0",21423
"125","5","AT30","0",66989
"126","6","AT30","0",44
"127","7","AT30","0",22
"128","NaN","AT30","0",0
"129","1","AT31","0",462409
"130","2","AT31","0",50403
"131","3","AT31","0",94
"132","4","AT31","0",4058
"133","5","AT31","0",16485
"134","6","AT31","0",0
"135","7","AT31","0",433
"136","NaN","AT31","0",0
"137","1","AT32","0",8017487
"138","2","AT32","0",103968
"139","3","AT32","0",14986
"140","4","AT32","0",64388
"141","5","AT32","0",164882
"142","6","AT32","0",254
"143","7","AT32","0",5350
"144","NaN","AT32","0",0
