"","...1","LC","T_MAPCODE","sum_niaps","n","km2"
"1",1,1,"AT15",0,31640,12.656
"2",2,2,"AT15",0,33,0.0132
"3",3,3,"AT15",0,5,0.002
"4",4,4,"AT15",0,3,0.0012
"5",9,1,"AT16",0,114873,45.9492
"6",10,2,"AT16",0,3370,1.348
"7",11,3,"AT16",0,146,0.0584
"8",12,4,"AT16",0,211,0.0844
"9",13,5,"AT16",0,950,0.38
"10",14,6,"AT16",0,1374,0.5496
"11",17,1,"AT17",0,1173968,469.5872
"12",18,2,"AT17",0,102438,40.9752
"13",19,3,"AT17",0,1102,0.4408
"14",20,4,"AT17",0,12872,5.1488
"15",21,5,"AT17",0,242598,97.0392
"16",22,6,"AT17",0,226,0.0904
"17",23,7,"AT17",0,2577,1.0308
"18",25,1,"AT18",0,2133023,853.2092
"19",26,2,"AT18",0,91375,36.55
"20",27,3,"AT18",0,878,0.3512
"21",28,4,"AT18",0,5189,2.0756
"22",29,5,"AT18",0,225745,90.298
"23",30,6,"AT18",0,36,0.0144
"24",31,7,"AT18",0,569,0.2276
"25",33,1,"AT19",0,2514511,1005.8044
"26",34,2,"AT19",0,16715,6.686
"27",35,3,"AT19",0,4716,1.8864
"28",36,4,"AT19",0,3926,1.5704
"29",37,5,"AT19",0,14167,5.6668
"30",38,6,"AT19",0,33,0.0132
"31",39,7,"AT19",0,15,0.006
"32",41,1,"AT20",0,46550,18.62
"33",42,2,"AT20",0,5311,2.1244
"34",43,3,"AT20",0,223,0.0892
"35",44,4,"AT20",0,31867,12.7468
"36",46,6,"AT20",0,975,0.39
"37",47,7,"AT20",0,5,0.002
"38",49,1,"AT21",0,563858,225.5432
"39",50,2,"AT21",0,35030,14.012
"40",51,3,"AT21",0,21737,8.6948
"41",52,4,"AT21",0,45581,18.2324
"42",53,5,"AT21",0,73796,29.5184
"43",54,6,"AT21",0,186,0.0744
"44",55,7,"AT21",0,240,0.096
"45",57,1,"AT22",0,190319,76.1276
"46",58,2,"AT22",0,73435,29.374
"47",59,3,"AT22",0,8543,3.4172
"48",60,4,"AT22",0,105545,42.218
"49",61,5,"AT22",0,108885,43.554
"50",62,6,"AT22",0,287,0.1148
"51",63,7,"AT22",0,120,0.048
"52",65,1,"AT23",0,614107,245.6428
"53",66,2,"AT23",0,52809,21.1236
"54",67,3,"AT23",0,294,0.1176
"55",68,4,"AT23",0,22770,9.108
"56",69,5,"AT23",0,27570,11.028
"57",70,6,"AT23",0,12,0.0048
"58",71,7,"AT23",0,260,0.104
"59",73,1,"AT24",0,6111402,2444.5608
"60",74,2,"AT24",0,392341,156.9364
"61",75,3,"AT24",0,4909,1.9636
"62",76,4,"AT24",0,136900,54.76
"63",77,5,"AT24",0,376403,150.5612
"64",78,6,"AT24",0,133,0.0532
"65",79,7,"AT24",0,3208,1.2832
"66",81,1,"AT25",0,5047876,2019.1504
"67",82,2,"AT25",0,21104,8.4416
"68",83,3,"AT25",0,3631,1.4524
"69",84,4,"AT25",0,15597,6.2388
"70",85,5,"AT25",0,7689,3.0756
"71",86,6,"AT25",0,253,0.1012
"72",89,1,"AT26",0,51303,20.5212
"73",90,2,"AT26",0,4541,1.8164
"74",91,3,"AT26",0,230,0.092
"75",92,4,"AT26",0,675,0.27
"76",93,5,"AT26",0,18953,7.5812
"77",97,1,"AT27",0,2972647,1189.0588
"78",98,2,"AT27",0,8566,3.4264
"79",99,3,"AT27",0,712,0.2848
"80",100,4,"AT27",0,5766,2.3064
"81",101,5,"AT27",0,6412,2.5648
"82",102,6,"AT27",0,931,0.3724
"83",103,7,"AT27",0,2,0.0008
"84",105,1,"AT28",0,1939947,775.9788
"85",106,2,"AT28",0,114434,45.7736
"86",107,3,"AT28",0,2408,0.9632
"87",108,4,"AT28",0,60313,24.1252
"88",109,5,"AT28",0,88816,35.5264
"89",110,6,"AT28",0,65,0.026
"90",111,7,"AT28",0,1817,0.7268
"91",113,1,"AT29",0,1886571,754.6284
"92",114,2,"AT29",0,14274,5.7096
"93",115,3,"AT29",0,1678,0.6712
"94",116,4,"AT29",0,13674,5.4696
"95",117,5,"AT29",0,10499,4.1996
"96",118,6,"AT29",0,935,0.374
"97",121,1,"AT30",0,1503432,601.3728
"98",122,2,"AT30",0,26593,10.6372
"99",123,3,"AT30",0,5844,2.3376
"100",124,4,"AT30",0,21423,8.5692
"101",125,5,"AT30",0,66913,26.7652
"102",126,6,"AT30",0,44,0.0176
"103",127,7,"AT30",0,22,0.0088
"104",129,1,"AT31",0,449322,179.7288
"105",130,2,"AT31",0,49433,19.7732
"106",131,3,"AT31",0,94,0.0376
"107",132,4,"AT31",0,4058,1.6232
"108",133,5,"AT31",0,16450,6.58
"109",135,7,"AT31",0,420,0.168
"110",137,1,"AT32",0,7884286,3153.7144
"111",138,2,"AT32",0,94805,37.922
"112",139,3,"AT32",0,14713,5.8852
"113",140,4,"AT32",0,64213,25.6852
"114",141,5,"AT32",0,163218,65.2872
"115",142,6,"AT32",0,254,0.1016
"116",143,7,"AT32",0,2917,1.1668
"117",145,1,"AT33",0,1199797,479.9188
"118",146,2,"AT33",0,6357,2.5428
"119",147,3,"AT33",0,2399,0.9596
"120",148,4,"AT33",0,1955,0.782
"121",149,5,"AT33",0,7740,3.096
"122",150,6,"AT33",0,15,0.006
"123",151,7,"AT33",0,8,0.0032
"124",153,1,"AT34",0,401192,160.4768
"125",154,2,"AT34",0,3869,1.5476
"126",155,3,"AT34",0,380,0.152
"127",156,4,"AT34",0,1004,0.4016
"128",157,5,"AT34",0,8759,3.5036
"129",158,6,"AT34",0,140,0.056
"130",159,7,"AT34",0,45,0.018
"131",161,1,"AT35",0,40400,16.16
"132",162,2,"AT35",0,9514,3.8056
"133",164,4,"AT35",0,472,0.1888
"134",165,5,"AT35",0,18010,7.204
"135",169,1,"AT36",0,49921,19.9684
