"","nlc2022_7class","T_MAPCODE","sum","n"
"1","1","AT15","0",31640
"2","2","AT15","0",33
"3","3","AT15","0",5
"4","4","AT15","0",3
"5","5","AT15","0",0
"6","6","AT15","0",0
"7","7","AT15","0",0
"8","NaN","AT15","0",0
"9","1","AT16","0",114873
"10","2","AT16","0",3370
"11","3","AT16","0",146
"12","4","AT16","0",211
"13","5","AT16","0",950
"14","6","AT16","0",1374
"15","7","AT16","0",0
"16","NaN","AT16","0",0
"17","1","AT17","0",1173968
"18","2","AT17","0",102438
"19","3","AT17","0",1102
"20","4","AT17","0",12872
"21","5","AT17","0",242598
"22","6","AT17","0",226
"23","7","AT17","0",2577
"24","NaN","AT17","0",0
"25","1","AT18","0",2133023
"26","2","AT18","0",91375
"27","3","AT18","0",878
"28","4","AT18","0",5189
"29","5","AT18","0",225745
"30","6","AT18","0",36
"31","7","AT18","0",569
"32","NaN","AT18","0",0
"33","1","AT19","0",2514511
"34","2","AT19","0",16715
"35","3","AT19","0",4716
"36","4","AT19","0",3926
"37","5","AT19","0",14167
"38","6","AT19","0",33
"39","7","AT19","0",15
"40","NaN","AT19","0",0
"41","1","AT20","0",46550
"42","2","AT20","0",5311
"43","3","AT20","0",223
"44","4","AT20","0",31867
"45","5","AT20","0",0
"46","6","AT20","0",975
"47","7","AT20","0",5
"48","NaN","AT20","0",0
"49","1","AT21","0",563858
"50","2","AT21","0",35030
"51","3","AT21","0",21737
"52","4","AT21","0",45581
"53","5","AT21","0",73796
"54","6","AT21","0",186
"55","7","AT21","0",240
"56","NaN","AT21","0",0
"57","1","AT22","0",190319
"58","2","AT22","0",73435
"59","3","AT22","0",8543
"60","4","AT22","0",105545
"61","5","AT22","0",108885
"62","6","AT22","0",287
"63","7","AT22","0",120
"64","NaN","AT22","0",0
"65","1","AT23","0",614107
"66","2","AT23","0",52809
"67","3","AT23","0",294
"68","4","AT23","0",22770
"69","5","AT23","0",27570
"70","6","AT23","0",12
"71","7","AT23","0",260
"72","NaN","AT23","0",0
"73","1","AT24","0",6111402
"74","2","AT24","0",392341
"75","3","AT24","0",4909
"76","4","AT24","0",136900
"77","5","AT24","0",376403
"78","6","AT24","0",133
"79","7","AT24","0",3208
"80","NaN","AT24","0",0
"81","1","AT25","0",5047876
"82","2","AT25","0",21104
"83","3","AT25","0",3631
"84","4","AT25","0",15597
"85","5","AT25","0",7689
"86","6","AT25","0",253
"87","7","AT25","0",0
"88","NaN","AT25","0",0
"89","1","AT26","0",51303
"90","2","AT26","0",4541
"91","3","AT26","0",230
"92","4","AT26","0",675
"93","5","AT26","0",18953
"94","6","AT26","0",0
"95","7","AT26","0",0
"96","NaN","AT26","0",0
"97","1","AT27","0",2972647
"98","2","AT27","0",8566
"99","3","AT27","0",712
"100","4","AT27","0",5766
"101","5","AT27","0",6412
"102","6","AT27","0",931
"103","7","AT27","0",2
"104","NaN","AT27","0",0
"105","1","AT28","0",1939947
"106","2","AT28","0",114434
"107","3","AT28","0",2408
"108","4","AT28","0",60313
"109","5","AT28","0",88816
"110","6","AT28","0",65
"111","7","AT28","0",1817
"112","NaN","AT28","0",0
"113","1","AT29","0",1886571
"114","2","AT29","0",14274
"115","3","AT29","0",1678
"116","4","AT29","0",13674
"117","5","AT29","0",10499
"118","6","AT29","0",935
"119","7","AT29","0",0
"120","NaN","AT29","0",0
"121","1","AT30","0",1503432
"122","2","AT30","0",26593
"123","3","AT30","0",5844
"124","4","AT30","0",21423
"125","5","AT30","0",66913
"126","6","AT30","0",44
"127","7","AT30","0",22
"128","NaN","AT30","0",0
"129","1","AT31","0",449322
"130","2","AT31","0",49433
"131","3","AT31","0",94
"132","4","AT31","0",4058
"133","5","AT31","0",16450
"134","6","AT31","0",0
"135","7","AT31","0",420
"136","NaN","AT31","0",0
"137","1","AT32","0",7884286
"138","2","AT32","0",94805
"139","3","AT32","0",14713
"140","4","AT32","0",64213
"141","5","AT32","0",163218
"142","6","AT32","0",254
"143","7","AT32","0",2917
"144","NaN","AT32","0",0
