"","T_MAPCODE","niaps_ch1","niaps_ch2","niaps_ch4","niaps_ch3","niaps_ch6","niaps_ch5","niaps_ch7","niaps_ch8","niaps_ch9","niaps_ch10","sum_rem","niaps_ext50","niaps_ext70","niaps_ext90","YEAR"
"1","AT15",0.3148,1.1932,0.4108,0,0,0,0,0,0,0,14.5748,0.13165189230727,0.0281856354804183,0,2023
"2","AT16",0.7696,3.4368,0.61,0.024,0.0036,0,0,0,0,0.3716,51.1648,0.101937269372694,0.0197244980924385,0.0073331665520045,2023
"3","AT17",42.1832,13.2332,10.304,4.1224,5.5484,5.6868,7.9768,2.5396,0.2552,15.3032,576.74,0.18579047751153,0.0897048930193848,0.064691195339321,2023
"4","AT18",42.9356,42.8548,25.0552,13.5744,4.6324,10.218,8.7372,2.63,2.8052,28.0584,1034.7104,0.17541255988149,0.0925000850479516,0.0551663537932933,2023
"5","AT19",26.722,12.384,8.2812,0.9136,1.0748,2.8384,2.6252,0.3452,0.3316,0.506,1061.8264,0.052760036857249,0.0159310410816683,0.00727162180183126,2023
"6","AT20",0,0,0.116,0.3364,0.8596,0.0184,0,0.0472,0.004,0,20.0016,0.0690744740420766,0.0690744740420766,0.0464562834973202,2023
"7","AT21",18.6292,9.9224,12.5768,12.6404,3.4312,2.4772,6.9144,7.936,1.0672,9.7596,310.8976,0.274541842716058,0.182705816963528,0.101594865962298,2023
"8","AT22",0.882,1.4936,3.3072,4.7308,0.0404,1.6224,1.8956,1.6028,0.3604,0.334,92.3968,0.176079691071552,0.150368843942647,0.0633744891597977,2023
"9","AT23",12.0136,10.5192,0,0.092,0,0,0,0,0,0.012,268.2796,0.0843776418333708,0.000387655267116844,0.0000447294538980974,2023
"10","AT24",106.3336,33.0192,10.0236,1.8452,0.6844,1.36,0.04,0,0,0.1796,2598.0464,0.059077312860925,0.00543977967445077,0.000871424005360335,2023
"11","AT25",69.4464,10.062,1.36,5.7076,0,0,3.2716,0.2224,0,0,2109.2204,0.0427029816324553,0.00500734773852936,0.00165653622542244,2023
"12","AT26",0.0784,1.3416,0.9392,0.2668,0.0072,0.5596,2.6928,2.9776,0.2604,0.5292,30.174,0.319904553589183,0.272844170477895,0.232875985948167,2023
"13","AT27",18.6344,16.594,5.4404,0.0072,1.1188,0,0,0,0,0,1230.8536,0.0339559473198112,0.00533483429710893,0.000908962690607559,2023
"14","AT28",43.9724,37.6064,11.26,14.7528,1.4928,3.0512,6.2016,2.1408,3.2896,8.4856,908.232,0.145616098089475,0.0557945546952761,0.0271534145460631,2023
"15","AT29",8.2144,4.4272,0.1744,0.1132,0.4984,0,0,0,0,0,768.056,0.0174825793952524,0.00102336287979002,0.000648911016905017,2023
"16","AT30",15.7444,4.8404,3.3124,0,0,0,0.0556,0,0,0,625.3256,0.0383045248747213,0.00538599411250715,0.0000889136795295123,2023
"17","AT31",12.7408,3.7324,5.3032,1.1624,0.5492,1.634,0.4524,0.5812,0.0412,4.2704,210.196,0.144946621248739,0.0665759576775962,0.035816095453767,2023
"18","AT32",167.0544,90.9472,22.3904,12.3204,0.7528,0.7116,1.6448,0.2772,0.0224,0.8296,3450.6652,0.0860561030377563,0.0112874468377865,0.0012282849115585,2023
"19","AT33",0.9336,2.1972,0.1124,0.3792,0.0544,0.0576,0.2972,0.12,0,0,484.0704,0.00857643846845418,0.002108784176847,0.00109322941456449,2023
"20","AT34",0,0.114,0.0568,0.0308,0.0252,0.0012,0.4656,0.2308,0,0.2728,161.674,0.00740502492670436,0.00669990227247424,0.00615807118027636,2023
"21","AT35",0.6152,0.924,0.228,0.0276,0.334,0.0104,0,0.0348,0,0.0404,18.3744,0.120515499825845,0.0367467781260885,0.0228361198188784,2023
"22","AT36",0.4488,0.3656,0.4588,0.1904,0.6384,0.4076,4.2632,0.1616,0.1732,2.6884,29.7644,0.329118006746314,0.301756460738332,0.279945169396998,2023
"23","AT37",2.7928,2.8824,4.3356,2.9724,1.1752,0.7888,2.5308,0.8244,0.3804,0.5592,106.1272,0.181310729011978,0.127835276912987,0.0589745136025449,2023
"24","AT38",27.0128,12.6892,10.5644,3.4908,3.6032,6.2532,5.4116,7.9316,0.882,31.3256,849.7652,0.128464192226276,0.0817430509039438,0.0652029525332409,2023
"25","AT39",1.9532,3.2204,4.9916,0.9772,0.0852,0.206,0.022,0,0,0,216.984,0.0527946761051506,0.0289514434244,0.00144342439995576,2023
"26","AT40",11.3288,17.3336,18.8508,8.438,8.1932,11.2756,16.4656,6.1312,2.884,8.2868,463.16,0.235744882977805,0.173860436998014,0.114941704810433,2023
"27","AT41",7.1912,11.8396,7.9776,5.4976,0.2244,0.042,0.3632,3.9212,0.016,4.1424,207.8656,0.198278118168663,0.106724729825426,0.0418982265463838,2023
"28","AT42",0.5132,2.2164,1.3228,0.3064,0,0.074,0,0,0,0,51.7304,0.0856904257457897,0.0329245472681441,0.00143049348158916,2023
"29","AT43",0.2684,0.548,0.1032,0.148,0.1028,0.1016,0.3524,0.2956,0,0.0988,265.86,0.00759347024749868,0.00452268111035884,0.0035778229143158,2023
"30","AT44",1.9588,2.3572,1.1328,0.3816,0.5212,0.2256,0.1484,0.1104,0.026,0.338,63.2552,0.113824634180273,0.0455930895799871,0.021651974857403,2023
"31","AT45",18.238,11.2428,7.1632,3.4808,0.45,0.1408,0,0.4612,0,1.7344,430.4944,0.0996788808402618,0.0311976183662319,0.00647255806347307,2023
"32","AT46",0.1056,1.0572,0.002,0.0528,0,0,0.0832,0.0156,0.026,0.0392,552.0688,0.00250258663412966,0.000396327414264309,0.000297064423854418,2023
"33","AT47",7.5552,7.8904,1.8768,0.6024,0,0.1196,0.0512,0.0112,0,0,886.1536,0.020433026509174,0.00300309111196975,0.000205382001495,2023
"34","AT48",0.248,1.4244,1.0368,0.0064,0.0164,4.13,0.0844,0,0,0,11.6912,0.594156288490489,0.451108526070891,0.361879020117695,2023
"35","AT49",90.6136,46.3644,9.6316,4.842,0.0036,0.4456,1.6528,0.0832,0.584,0,5524.0148,0.027918245258865,0.00312142538068508,0.000501302060233438,2023
"36","AT50",28.5316,21.61,17.742,13.4248,1.1796,0.9148,2.7808,1.4736,0.27,1.9952,515.4424,0.174456738522093,0.0771779737173349,0.0167118576197845,2023
"37","AT51",70.6936,70.842,106.3812,47.6576,0.9016,3.9208,3.8544,0.81,0.1988,1.7996,1693.7084,0.181294253485429,0.0977287471680485,0.00678109643903283,2023
"38","AT52",1.5112,3.5868,1.7244,0.3172,0.062,0.0468,0,0.0008,0,0,30.2416,0.239709539177821,0.0711338024443151,0.00362414687053595,2023
"39","AT53",1.4004,2.5088,0,0,0,0.8584,0,1.2036,0.0488,0.64,16.5496,0.402426644752743,0.166215497655532,0.166215497655532,2023
"40","AT54",12.5504,5.4796,4.2208,11.1712,0.75,4.946,1.1768,1.182,0.6936,3.0484,184.8992,0.244559197660131,0.147046607016147,0.0638012495456984,2023
"41","AT55",0.772,0.1428,0.004,0.0008,0.0168,0.0008,0.4084,0,0,0.1832,741.5976,0.00206149534464513,0.000827942269500333,0.000821469756644304,2023
"42","AT56",11.7912,13.8408,18.4004,6.0816,1.5712,3.3528,2.7216,5.2988,1.5276,7.8312,465.9492,0.155418659373168,0.100408370697922,0.0478661622339946,2023
