"","nlc2022_7class","T_MAPCODE","n"
"1","1","AT15",36437
"2","2","AT15",57
"3","3","AT15",5
"4","4","AT15",3
"5","5","AT15",0
"6","6","AT15",0
"7","7","AT15",0
"8","8","AT15",0
"9","NaN","AT15",0
"10","1","AT16",126979
"11","2","AT16",3804
"12","3","AT16",167
"13","4","AT16",216
"14","5","AT16",950
"15","6","AT16",1374
"16","7","AT16",0
"17","8","AT16",933
"18","NaN","AT16",0
"19","1","AT17",1359723
"20","2","AT17",119096
"21","3","AT17",1174
"22","4","AT17",12945
"23","5","AT17",243145
"24","6","AT17",226
"25","7","AT17",4571
"26","8","AT17",82127
"27","NaN","AT17",0
"28","1","AT18",2463607
"29","2","AT18",116889
"30","3","AT18",1037
"31","4","AT18",5308
"32","5","AT18",226716
"33","6","AT18",36
"34","7","AT18",2316
"35","8","AT18",123169
"36","NaN","AT18",0
"37","1","AT19",2610905
"38","2","AT19",17099
"39","3","AT19",4752
"40","4","AT19",3952
"41","5","AT19",14251
"42","6","AT19",33
"43","7","AT19",15
"44","8","AT19",43661
"45","NaN","AT19",0
"46","1","AT20",45000
"47","2","AT20",5612
"48","3","AT20",223
"49","4","AT20",31972
"50","5","AT20",0
"51","6","AT20",975
"52","7","AT20",5
"53","8","AT20",5004
"54","NaN","AT20",0
"55","1","AT21",704549
"56","2","AT21",44839
"57","3","AT21",22644
"58","4","AT21",45993
"59","5","AT21",74537
"60","6","AT21",187
"61","7","AT21",323
"62","8","AT21",72695
"63","NaN","AT21",0
"64","1","AT22",220606
"65","2","AT22",82632
"66","3","AT22",8990
"67","4","AT22",105798
"68","5","AT22",109896
"69","6","AT22",292
"70","7","AT22",120
"71","8","AT22",10386
"72","NaN","AT22",0
"73","1","AT23",670669
"74","2","AT23",56327
"75","3","AT23",309
"76","4","AT23",22796
"77","5","AT23",27579
"78","6","AT23",12
"79","7","AT23",260
"80","8","AT23",30
"81","NaN","AT23",0
"82","1","AT24",6492818
"83","2","AT24",422191
"84","3","AT24",5082
"85","4","AT24",137061
"86","5","AT24",377305
"87","6","AT24",133
"88","7","AT24",3449
"89","8","AT24",2298
"90","NaN","AT24",0
"91","1","AT25",5260595
"92","2","AT25",22041
"93","3","AT25",3690
"94","4","AT25",15690
"95","5","AT25",7689
"96","6","AT25",253
"97","7","AT25",0
"98","8","AT25",12456
"99","NaN","AT25",0
"100","1","AT26",51464
"101","2","AT26",5641
"102","3","AT26",299
"103","4","AT26",721
"104","5","AT26",19110
"105","6","AT26",0
"106","7","AT26",0
"107","8","AT26",23971
"108","NaN","AT26",0
"109","1","AT27",3074341
"110","2","AT27",8806
"111","3","AT27",720
"112","4","AT27",5896
"113","5","AT27",6448
"114","6","AT27",942
"115","7","AT27",2
"116","8","AT27",2793
"117","NaN","AT27",0
"118","1","AT28",2216455
"119","2","AT28",148087
"120","3","AT28",2634
"121","4","AT28",60573
"122","5","AT28",89760
"123","6","AT28",65
"124","7","AT28",4577
"125","8","AT28",54125
"126","NaN","AT28",0
"127","1","AT29",1918967
"128","2","AT29",14513
"129","3","AT29",1683
"130","4","AT29",13698
"131","5","AT29",10564
"132","6","AT29",937
"133","7","AT29",0
"134","8","AT29",1173
"135","NaN","AT29",0
"136","1","AT30",1563177
"137","2","AT30",27429
"138","3","AT30",5860
"139","4","AT30",21433
"140","5","AT30",67044
"141","6","AT30",44
"142","7","AT30",22
"143","8","AT30",137
"144","NaN","AT30",0
"145","1","AT31",510926
"146","2","AT31",55195
"147","3","AT31",95
"148","4","AT31",4060
"149","5","AT31",16562
"150","6","AT31",0
"151","7","AT31",602
"152","8","AT31",14564
"153","NaN","AT31",0
"154","1","AT32",8617914
"155","2","AT32",112279
"156","3","AT32",15245
"157","4","AT32",64523
"158","5","AT32",165079
"159","6","AT32",254
"160","7","AT32",6417
"161","8","AT32",8749
"162","NaN","AT32",0
"163","1","AT33",1208877
"164","2","AT33",7098
"165","3","AT33",2433
"166","4","AT33",1968
"167","5","AT33",7810
"168","6","AT33",15
"169","7","AT33",14
"170","8","AT33",1299
"171","NaN","AT33",0
"172","1","AT34",401616
"173","2","AT34",4170
