"","T_MAPCODE","inv_deg","sum_IAT","sum_rem","sum_aoi","prop_inv","prop_nat","D3"
"1","AT33",1,0.015,393.4632,401.0032,0.0000381230061667775,0.981197157528917,"LC"
"2","AT34",1,0.004,161.707,167.5385,0.0000247360967676106,0.965193075024547,"LC"
"3","AT37",1,0.0088,105.0727,174.8563,0.0000837515358413746,0.600908860590096,"LC"
"4","AT43",1,0.0042,265.8798,286.1989,0.0000157966118524235,0.929003570593738,"LC"
"5","AT46",1,0.0925,552.07,571.9122,0.000167551216331262,0.965305513678498,"LC"
"6","AT55",1,0.0134,741.5483,760.3759,0.0000180702996689494,0.975239088982173,"LC"
"7","AZa2",1,1.1379,115.6731,348.4591,0.00983720502000897,0.331956031568698,"LC"
"8","AZd3",1,0.0359,183.037,185.0335,0.000196135207635615,0.989210061961753,"LC"
"9","AZi8",1,0.0001,143.9496,407.2313,0.000000694687585099229,0.353483634484874,"LC"
"10","FFa1",1,0.0396,52.9555,180.0582,0.000747797679183465,0.294102129200447,"LC"
"11","FFa2",1,1.4568,168.8853,501.6498,0.00862597277560569,0.336659757464271,"LC"
"12","FFa3",1,2.4053,137.098,477.2055,0.0175443843090344,0.287293419711215,"LC"
"13","FFa4",1,0.7794,5.1294,35.85,0.151947596210083,0.14307949790795,"LC"
"14","FFb1",1,0.5924,258.2133,279.0046,0.00229422729193268,0.925480440107439,"LC"
"15","FFb2",1,9.9514,128.1907,134.5103,0.0776296564415359,0.953017724293233,"LC"
"16","FFb3",1,0.1055,97.6928,97.8605,0.00107991581774706,0.99828633616219,"LC"
"17","FFb4",1,0.1252,54.0352,61.9373,0.00231700817245055,0.872417751500308,"LC"
"18","FFc1",1,0.1079,388.781,869.0793,0.000277534138756781,0.447348130371993,"LC"
"19","FFd4",1,0.0142,330.7161,689.0107,0.0000429371294593762,0.479986885544738,"LC"
"20","FFd5",1,0.0001,88.2751,555.389,0.00000113282227944233,0.158942831060752,"LC"
"21","FFd6",1,7.659,49.2159,85.3992,0.155620439735939,0.576303993480033,"LC"
"22","FFd7",1,15.0815,117.3496,242.795,0.128517694137858,0.483327910377067,"LC"
"23","FFd8",1,0.0386,43.3915,97.6878,0.00088957514720625,0.444185456116322,"LC"
"24","FFf1",1,57.4725,233.227,692.9785,0.246423012772964,0.336557339080505,"LC"
"25","FFg2",1,27.21,279.5674,523.9745,0.0973289446480527,0.533551537336263,"LC"
"26","FFg4",1,0.602,14.142,16.9296,0.0425682364587753,0.835341650127587,"LC"
"27","FFg5",1,0.56,176.309,496.432,0.00317624171199428,0.355152367293003,"LC"
"28","FFh1",1,1.3701,198.8523,427.9919,0.00689003848585106,0.464616970554817,"LC"
"29","FFh3",1,0.1373,63.6869,75.1333,0.00215585936825313,0.847652106323028,"LC"
"30","FFh4",1,10.1763,203.8002,316.8649,0.049932728230885,0.643176950176558,"LC"
"31","FFh5",1,5.2776,35.8506,83.9948,0.147210925340162,0.426819279288718,"LC"
"32","FFh6",1,13.9095,67.1287,279.483,0.207206455659055,0.240188848695627,"LC"
"33","FFh7",1,14.4541,148.229,266.6212,0.0975119578490039,0.555953540078583,"LC"
"34","FFh8",1,0.342,144.4098,186.7527,0.00236826032582276,0.773267535087846,"LC"
"35","FFh9",1,2.0959,241.9892,560.2163,0.00866113033143628,0.431956728142326,"LC"
"36","FFl1",1,77.8891,249.5887,277.3491,0.312069817263362,0.899908094167243,"LC"
"37","FFl2",1,0.0394,658.728,691.1646,0.000059812244203981,0.953069645059947,"LC"
"38","FFq2",1,0.0138,1615.586,1644.3339,0.00000854179226608797,0.982516993659256,"LC"
"39","FFq3",1,0.0208,1246.0748,1264.4358,0.0000166924168597262,0.98547889896822,"LC"
"40","FFq4",1,0.1286,91.305,97.8393,0.00140846613000383,0.93321395390196,"LC"
"41","FFq5",1,0.0057,385.0748,385.4581,0.0000148023189260892,0.999005598792709,"LC"
"42","FFs10",1,30.5787,1008.5606,1050.6315,0.0303191498854903,0.959956559459715,"LC"
"43","FFs11",1,28.3787,763.4262,914.217,0.0371728138227375,0.835060166240619,"LC"
"44","FFs12",1,111.5566,1049.4884,1178.2981,0.106296172496999,0.890681568611542,"LC"
"45","FFs13",1,7.1606,520.86,531.4922,0.0137476481204162,0.979995567197411,"LC"
"46","FFs14",1,33.1465,333.1973,358.8867,0.0994800978279236,0.928419191906527,"LC"
"47","FFs15",1,0.3418,905.94,993.4318,0.000377287679095746,0.911929736897893,"LC"
"48","FFs16",1,1.229,1173.34,1215.2912,0.00104743723047028,0.96548053668125,"LC"
"49","FFs18",1,0.9497,732.2133,878.8237,0.00129702642658908,0.833174276023735,"LC"
"50","FFs19",1,1.0649,1047.2355,1570.4783,0.0010168677436928,0.666825832614179,"LC"
"51","FFs21",1,0.5137,318.0257,318.328,0.00161527826210272,0.99905035058179,"LC"
"52","FFs22",1,0.6992,385.3785,388.3062,0.00181432020727674,0.992460331563081,"LC"
"53","FFs23",1,0.0872,846.0636,852.1944,0.000103065537862638,0.992805866830385,"LC"
"54","FFs24",1,0.2892,1082.283,1084.7924,0.000267212919356582,0.99768674633045,"LC"
"55","FFs25",1,0.0003,330.9225,332.5837,0.000000906556671123904,0.995005167120337,"LC"
"56","FFs26",1,0.0002,287.1451,304.1814,0.000000696511972518424,0.943992959464319,"LC"
"57","FFs3",1,1.0721,469.3664,498.2564,0.00228414304901246,0.94201780448781,"LC"
"58","FFs30",1,0.0003,37.4828,37.5275,0.00000800367101710651,0.998808873492772,"LC"
"59","FFs4",1,0.0218,2232.6207,2523.6296,0.00000976430971906692,0.884686366018214,"LC"
"60","FFs5",1,2.9898,1050.893,1135.9754,0.00284500895904721,0.925101899213663,"LC"
"61","FFs7",1,0.8923,371.0935,394.0943,0.00240451530409452,0.941636303798355,"LC"
"62","FFs8",1,1.7963,315.7601,319.7413,0.00568881248770823,0.987548683889132,"LC"
"63","FFt1",1,1.0677,395.7531,404.9644,0.00269789421737947,0.977254049985628,"LC"
"64","FOz1",1,1.0656,630.5673,785.8241,0.00168990685054553,0.802428049737848,"LC"
"65","FOz6",1,1.9769,131.9692,160.5835,0.0149800104872955,0.821810459978765,"LC"
"66","FRa1",1,1.8932,174.4293,497.6709,0.0108536811189405,0.350491258379785,"LC"
"67","FRc1",1,0.002,12.7705,101.0546,0.000156610939274108,0.126372277956669,"LC"
"68","FRc2",1,0.6655,28.3007,209.2108,0.0235153194090606,0.135273609201819,"LC"
"69","FRg2",1,1.3829,153.8199,951.3109,0.00899038420906528,0.16169256549042,"LC"
"70","FRg3",1,1.2759,18.8303,19.1719,0.0677578158606077,0.982182256323056,"LC"
"71","FRl1",1,2.3512,432.6564,501.6514,0.00543433542182665,0.862464253064977,"LC"
"72","FRs11",1,23.7737,152.9654,1193.6587,0.155418807128932,0.128148355974786,"LC"
"73","FRs12",1,18.0855,194.3202,2025.964,0.0930706123192545,0.095914932348255,"LC"
"74","FRs14",1,0.0284,326.3223,866.0803,0.0000870305216652371,0.376780651863343,"LC"
"75","FRs15",1,0.1112,264.2451,276.3975,0.000420821426773855,0.956032887417578,"LC"
"76","FRs16",1,0.0104,1103.8974,1347.6912,0.00000942116540903167,0.819102625289829,"LC"
"77","FRs17",1,0.015,64.223,207.1418,0.000233561185245161,0.310043651257255,"LC"
"78","FRs4",1,0.4605,211.4333,491.7556,0.00217799183004758,0.429956059473446,"LC"
"79","FRs6",1,0.1097,1787.9086,2073.3363,0.0000613566040232705,0.86233410373416,"LC"
"80","FRs7",1,1.1976,1293.6845,1607.8968,0.000925728027196739,0.804581799030883,"LC"
"81","FRs8",1,7.0014,616.4918,1049.801,0.011356842053698,0.58724634478344,"LC"
"82","FRs9",1,2.5032,486.7231,4963.7621,0.00514296527121889,0.0980552835116735,"LC"
"83","FS10",1,56.1634,287.189,300.682,0.195562504134908,0.955125348374695,"LC"
"84","FS11",1,13.5576,39.4457,39.5979,0.343702862415929,0.996156361827269,"LC"
"85","FS6",1,0.0014,177.1103,389.1908,0.00000790467860988322,0.455073192891507,"LC"
"86","FS7",1,4.4346,27.8277,36.1129,0.159359199646396,0.770575057666374,"LC"
"87","SKv10",1,0.0037,226.2924,240.1444,0.0000163505270172573,0.942318038646748,"LC"
"88","SKv11",1,0.0043,1369.0351,1578.4969,0.00000314089828668381,0.867303001988791,"LC"
"89","SKv13",1,0.0017,509.2519,530.4816,0.00000333823005864092,0.959980327310127,"LC"
"90","SKv7",1,0.218,496.293,653.3586,0.00043925664879416,0.75960276638281,"LC"
"91","SKv8",1,0.0207,3931.7725,4109.02,0.00000526480105346889,0.956863802074461,"LC"
