"","LC","T_MAPCODE","n","km2","um"
"1",1,"CB3",38267,15.3068,0
"2",2,"CB3",36809,14.7236,0
"3",3,"CB3",619,0.2476,0
"4",4,"CB3",321652,128.6608,0
"5",5,"CB3",10949,4.3796,0
"6",6,"CB3",872,0.3488,0
"7",7,"CB3",303,0.1212,0
"8",1,"CB6",28671,11.4684,0
"9",2,"CB6",15739,6.2956,0
"10",3,"CB6",176,0.0704,0
"11",4,"CB6",153845,61.538,0
"12",6,"CB6",368,0.1472,0
"13",1,"FOa3",144,0.0576,0
"14",2,"FOa3",39,0.0156,0
"15",4,"FOa3",3,0.0012,0
"16",1,"FOz3",186454,74.5816,0
"17",2,"FOz3",43829,17.5316,0
"18",3,"FOz3",27,0.0108,0
"19",4,"FOz3",345,0.138,0
"20",5,"FOz3",322,0.1288,0
"21",6,"FOz3",2,8e-04,0
"22",7,"FOz3",2578,1.0312,0
"23",1,"FOz5",53361,21.3444,0
"24",2,"FOz5",9198,3.6792,0
"25",3,"FOz5",2,8e-04,0
"26",4,"FOz5",985,0.394,0
"27",5,"FOz5",54,0.0216,0
"28",7,"FOz5",53,0.0212,0
"29",1,"FOz7",36392,14.5568,0
"30",2,"FOz7",8438,3.3752,0
"31",3,"FOz7",1,4e-04,0
"32",4,"FOz7",1942,0.7768,0
"33",5,"FOz7",9,0.0036,0
"34",6,"FOz7",17,0.0068,0
"35",7,"FOz7",4,0.0016,0
"36",1,"Gs10",785,0.314,0
"37",2,"Gs10",293,0.1172,0
"38",3,"Gs10",1,4e-04,0
"39",4,"Gs10",1,4e-04,0
"40",7,"Gs10",293,0.1172,0
"41",1,"Gs11",56140,22.456,0
"42",2,"Gs11",36068,14.4272,0
"43",3,"Gs11",43072,17.2288,0
"44",4,"Gs11",35691,14.2764,0
"45",5,"Gs11",49799,19.9196,0
"46",6,"Gs11",44,0.0176,0
"47",7,"Gs11",11468,4.5872,0
"48",1,"Gs19",512133,204.8532,0
"49",2,"Gs19",136903,54.7612,0
"50",3,"Gs19",58098,23.2392,0
"51",4,"Gs19",276308,110.5232,0
"52",5,"Gs19",176749,70.6996,0
"53",6,"Gs19",2476,0.9904,0
"54",7,"Gs19",22713,9.0852,0
"55",1,"Gs20",141468,56.5872,0
"56",2,"Gs20",106122,42.4488,0
"57",3,"Gs20",3340,1.336,0
"58",4,"Gs20",219727,87.8908,0
"59",5,"Gs20",220799,88.3196,0
"60",6,"Gs20",911,0.3644,0
"61",7,"Gs20",196503,78.6012,0
"62",1,"Gs8",721505,288.602,0
"63",2,"Gs8",134728,53.8912,0
"64",3,"Gs8",16992,6.7968,0
"65",4,"Gs8",13660,5.464,0
"66",5,"Gs8",186069,74.4276,0
"67",6,"Gs8",47,0.0188,0
"68",7,"Gs8",176214,70.4856,0
"69",1,"Gs9",741295,296.518,0
"70",2,"Gs9",353743,141.4972,0
"71",3,"Gs9",15366,6.1464,0
"72",4,"Gs9",414938,165.9752,0
"73",5,"Gs9",437946,175.1784,0
"74",6,"Gs9",796,0.3184,0
"75",7,"Gs9",702316,280.9264,0
"76",1,"SVs3",554157,221.6628,0
"77",2,"SVs3",169964,67.9856,0
"78",3,"SVs3",3100,1.24,0
"79",4,"SVs3",174266,69.7064,0
"80",5,"SVs3",137120,54.848,0
"81",6,"SVs3",940,0.376,0
