"","nlc2022_7class","T_MAPCODE","Band_1","n"
"1","1","AT15","0",0
"2","2","AT15","0",0
"3","3","AT15","0",0
"4","4","AT15","0",0
"5","5","AT15","0",0
"6","6","AT15","0",0
"7","7","AT15","0",0
"8","NaN","AT15","0",0
"9","1","AT16","0",0
"10","2","AT16","0",0
"11","3","AT16","0",0
"12","4","AT16","0",0
"13","5","AT16","0",0
"14","6","AT16","0",0
"15","7","AT16","0",0
"16","NaN","AT16","0",0
"17","1","AT17","0",0
"18","2","AT17","0",0
"19","3","AT17","0",0
"20","4","AT17","0",0
"21","5","AT17","0",0
"22","6","AT17","0",0
"23","7","AT17","0",0
"24","NaN","AT17","0",0
"25","1","AT18","0",0
"26","2","AT18","0",0
"27","3","AT18","0",0
"28","4","AT18","0",0
"29","5","AT18","0",0
"30","6","AT18","0",0
"31","7","AT18","0",0
"32","NaN","AT18","0",0
"33","1","AT19","0",0
"34","2","AT19","0",0
"35","3","AT19","0",0
"36","4","AT19","0",0
"37","5","AT19","0",0
"38","6","AT19","0",0
"39","7","AT19","0",0
"40","NaN","AT19","0",0
"41","1","AT20","0",0
"42","2","AT20","0",0
"43","3","AT20","0",0
"44","4","AT20","0",0
"45","5","AT20","0",0
"46","6","AT20","0",0
"47","7","AT20","0",0
"48","NaN","AT20","0",0
"49","1","AT21","0",0
"50","2","AT21","0",0
"51","3","AT21","0",0
"52","4","AT21","0",0
"53","5","AT21","0",0
"54","6","AT21","0",0
"55","7","AT21","0",0
"56","NaN","AT21","0",0
"57","1","AT22","0",0
"58","2","AT22","0",0
"59","3","AT22","0",0
"60","4","AT22","0",0
"61","5","AT22","0",0
"62","6","AT22","0",0
"63","7","AT22","0",0
"64","NaN","AT22","0",0
"65","1","AT23","0",0
"66","2","AT23","0",0
"67","3","AT23","0",0
"68","4","AT23","0",0
"69","5","AT23","0",0
"70","6","AT23","0",0
"71","7","AT23","0",0
"72","NaN","AT23","0",0
"73","1","AT24","0",0
"74","2","AT24","0",0
"75","3","AT24","0",0
"76","4","AT24","0",0
"77","5","AT24","0",0
"78","6","AT24","0",0
"79","7","AT24","0",0
"80","NaN","AT24","0",0
"81","1","AT25","0",0
"82","2","AT25","0",0
"83","3","AT25","0",0
"84","4","AT25","0",0
"85","5","AT25","0",0
"86","6","AT25","0",0
"87","7","AT25","0",0
"88","NaN","AT25","0",0
"89","1","AT26","0",0
"90","2","AT26","0",0
"91","3","AT26","0",0
"92","4","AT26","0",0
"93","5","AT26","0",0
"94","6","AT26","0",0
"95","7","AT26","0",0
"96","NaN","AT26","0",0
"97","1","AT27","0",0
"98","2","AT27","0",0
"99","3","AT27","0",0
"100","4","AT27","0",0
"101","5","AT27","0",0
"102","6","AT27","0",0
"103","7","AT27","0",0
"104","NaN","AT27","0",0
"105","1","AT28","0",0
"106","2","AT28","0",0
"107","3","AT28","0",0
"108","4","AT28","0",0
"109","5","AT28","0",0
"110","6","AT28","0",0
"111","7","AT28","0",0
"112","NaN","AT28","0",0
"113","1","AT29","0",0
"114","2","AT29","0",0
"115","3","AT29","0",0
"116","4","AT29","0",0
"117","5","AT29","0",0
"118","6","AT29","0",0
"119","7","AT29","0",0
"120","NaN","AT29","0",0
"121","1","AT30","0",0
"122","2","AT30","0",0
"123","3","AT30","0",0
"124","4","AT30","0",0
"125","5","AT30","0",0
"126","6","AT30","0",0
"127","7","AT30","0",0
"128","NaN","AT30","0",0
"129","1","AT31","0",0
"130","2","AT31","0",0
"131","3","AT31","0",0
"132","4","AT31","0",0
"133","5","AT31","0",0
"134","6","AT31","0",0
"135","7","AT31","0",0
"136","NaN","AT31","0",0
"137","1","AT32","0",0
"138","2","AT32","0",0
"139","3","AT32","0",0
"140","4","AT32","0",0
"141","5","AT32","0",0
"142","6","AT32","0",0
"143","7","AT32","0",0
"144","NaN","AT32","0",0
"145","1","AT33","0",0
"146","2","AT33","0",0
"147","3","AT33","0",0
"148","4","AT33","0",0
"149","5","AT33","0",0
"150","6","AT33","0",0
"151","7","AT33","0",0
"152","NaN","AT33","0",0
"153","1","AT34","0",0
"154","2","AT34","0",0
"155","3","AT34","0",0
"156","4","AT34","0",0
"157","5","AT34","0",0
"158","6","AT34","0",0
"159","7","AT34","0",0
"160","NaN","AT34","0",0
"161","1","AT35","0",0
"162","2","AT35","0",0
"163","3","AT35","0",0
"164","4","AT35","0",0
"165","5","AT35","0",0
"166","6","AT35","0",0
"167","7","AT35","0",0
"168","NaN","AT35","0",0
"169","1","AT36","0",0
"170","2","AT36","0",0
"171","3","AT36","0",0
"172","4","AT36","0",0
"173","5","AT36","0",0
"174","6","AT36","0",0
"175","7","AT36","0",0
"176","NaN","AT36","0",0
"177","1","AT37","0",0
"178","2","AT37","0",0
"179","3","AT37","0",0
"180","4","AT37","0",0
"181","5","AT37","0",0
"182","6","AT37","0",0
"183","7","AT37","0",0
"184","NaN","AT37","0",0
"185","1","AT38","0",0
"186","2","AT38","0",0
"187","3","AT38","0",0
"188","4","AT38","0",0
"189","5","AT38","0",0
"190","6","AT38","0",0
"191","7","AT38","0",0
"192","NaN","AT38","0",0
"193","1","AT39","0",0
"194","2","AT39","0",0
"195","3","AT39","0",0
"196","4","AT39","0",0
"197","5","AT39","0",0
"198","6","AT39","0",0
"199","7","AT39","0",0
"200","NaN","AT39","0",0
"201","1","AT40","0",0
"202","2","AT40","0",0
"203","3","AT40","0",0
"204","4","AT40","0",0
"205","5","AT40","0",0
"206","6","AT40","0",0
"207","7","AT40","0",0
"208","NaN","AT40","0",0
"209","1","AT41","0",0
"210","2","AT41","0",0
"211","3","AT41","0",0
"212","4","AT41","0",0
"213","5","AT41","0",0
"214","6","AT41","0",0
"215","7","AT41","0",0
"216","NaN","AT41","0",0
"217","1","AT42","0",0
"218","2","AT42","0",0
"219","3","AT42","0",0
"220","4","AT42","0",0
"221","5","AT42","0",0
"222","6","AT42","0",0
"223","7","AT42","0",0
"224","NaN","AT42","0",0
"225","1","AT43","0",0
"226","2","AT43","0",0
"227","3","AT43","0",0
"228","4","AT43","0",0
"229","5","AT43","0",0
"230","6","AT43","0",0
"231","7","AT43","0",0
"232","NaN","AT43","0",0
"233","1","AT44","0",0
"234","2","AT44","0",0
"235","3","AT44","0",0
"236","4","AT44","0",0
"237","5","AT44","0",0
"238","6","AT44","0",0
"239","7","AT44","0",0
"240","NaN","AT44","0",0
"241","1","AT45","0",0
"242","2","AT45","0",0
"243","3","AT45","0",0
"244","4","AT45","0",0
"245","5","AT45","0",0
"246","6","AT45","0",0
"247","7","AT45","0",0
"248","NaN","AT45","0",0
"249","1","AT46","0",0
"250","2","AT46","0",0
"251","3","AT46","0",0
"252","4","AT46","0",0
"253","5","AT46","0",0
"254","6","AT46","0",0
"255","7","AT46","0",0
"256","NaN","AT46","0",0
"257","1","AT47","0",0
"258","2","AT47","0",0
"259","3","AT47","0",0
"260","4","AT47","0",0
"261","5","AT47","0",0
"262","6","AT47","0",0
"263","7","AT47","0",0
"264","NaN","AT47","0",0
"265","1","AT48","0",0
"266","2","AT48","0",0
"267","3","AT48","0",0
"268","4","AT48","0",0
"269","5","AT48","0",0
"270","6","AT48","0",0
"271","7","AT48","0",0
"272","NaN","AT48","0",0
"273","1","AT49","0",0
"274","2","AT49","0",0
"275","3","AT49","0",0
"276","4","AT49","0",0
"277","5","AT49","0",0
"278","6","AT49","0",0
"279","7","AT49","0",0
"280","NaN","AT49","0",0
"281","1","AT50","0",0
"282","2","AT50","0",0
"283","3","AT50","0",0
"284","4","AT50","0",0
"285","5","AT50","0",0
"286","6","AT50","0",0
"287","7","AT50","0",0
"288","NaN","AT50","0",0
"289","1","AT51","0",0
"290","2","AT51","0",0
"291","3","AT51","0",0
"292","4","AT51","0",0
"293","5","AT51","0",0
"294","6","AT51","0",0
"295","7","AT51","0",0
"296","NaN","AT51","0",0
"297","1","AT52","0",0
"298","2","AT52","0",0
"299","3","AT52","0",0
"300","4","AT52","0",0
"301","5","AT52","0",0
"302","6","AT52","0",0
"303","7","AT52","0",0
"304","NaN","AT52","0",0
"305","1","AT53","0",0
"306","2","AT53","0",0
"307","3","AT53","0",0
"308","4","AT53","0",0
"309","5","AT53","0",0
"310","6","AT53","0",0
"311","7","AT53","0",0
"312","NaN","AT53","0",0
"313","1","AT54","0",0
"314","2","AT54","0",0
"315","3","AT54","0",0
"316","4","AT54","0",0
"317","5","AT54","0",0
"318","6","AT54","0",0
"319","7","AT54","0",0
"320","NaN","AT54","0",0
"321","1","AT55","0",0
"322","2","AT55","0",0
"323","3","AT55","0",0
"324","4","AT55","0",0
"325","5","AT55","0",0
"326","6","AT55","0",0
"327","7","AT55","0",0
"328","NaN","AT55","0",0
"329","1","AT56","0",0
"330","2","AT56","0",0
"331","3","AT56","0",0
"332","4","AT56","0",0
"333","5","AT56","0",0
"334","6","AT56","0",0
"335","7","AT56","0",0
"336","NaN","AT56","0",0
"337","1","AT57","0",0
"338","2","AT57","0",0
"339","3","AT57","0",0
"340","4","AT57","0",0
"341","5","AT57","0",0
"342","6","AT57","0",0
"343","7","AT57","0",0
"344","NaN","AT57","0",0
"345","1","AT58","0",0
"346","2","AT58","0",0
"347","3","AT58","0",0
"348","4","AT58","0",0
"349","5","AT58","0",0
"350","6","AT58","0",0
"351","7","AT58","0",0
"352","NaN","AT58","0",0
"353","1","AZa1","0",0
"354","2","AZa1","0",0
"355","3","AZa1","0",0
"356","4","AZa1","0",0
"357","5","AZa1","0",0
"358","6","AZa1","0",0
"359","7","AZa1","0",0
"360","NaN","AZa1","0",0
"361","1","AZa2","0",116779
"362","2","AZa2","0",34201
"363","3","AZa2","0",1200
"364","4","AZa2","0",8632
"365","5","AZa2","0",128695
"366","6","AZa2","0",40
"367","7","AZa2","0",7692
"368","NaN","AZa2","0",0
"369","1","AZa3","0",0
"370","2","AZa3","0",0
"371","3","AZa3","0",0
"372","4","AZa3","0",0
"373","5","AZa3","0",0
"374","6","AZa3","0",0
"375","7","AZa3","0",0
"376","NaN","AZa3","0",0
"377","1","AZa4","0",0
"378","2","AZa4","0",0
"379","3","AZa4","0",0
"380","4","AZa4","0",0
"381","5","AZa4","0",0
"382","6","AZa4","0",0
"383","7","AZa4","0",0
"384","NaN","AZa4","0",0
"385","1","AZa5","0",0
"386","2","AZa5","0",0
"387","3","AZa5","0",0
"388","4","AZa5","0",0
"389","5","AZa5","0",0
"390","6","AZa5","0",0
"391","7","AZa5","0",0
"392","NaN","AZa5","0",0
"393","1","AZa6","0",0
"394","2","AZa6","0",0
"395","3","AZa6","0",0
"396","4","AZa6","0",0
"397","5","AZa6","0",0
"398","6","AZa6","0",0
"399","7","AZa6","0",0
"400","NaN","AZa6","0",0
"401","1","AZa7","0",0
"402","2","AZa7","0",0
"403","3","AZa7","0",0
"404","4","AZa7","0",0
"405","5","AZa7","0",0
"406","6","AZa7","0",0
"407","7","AZa7","0",0
"408","NaN","AZa7","0",0
"409","1","AZd1","0",0
"410","2","AZd1","0",0
"411","3","AZd1","0",0
"412","4","AZd1","0",0
"413","5","AZd1","0",0
"414","6","AZd1","0",0
"415","7","AZd1","0",0
"416","NaN","AZd1","0",0
"417","1","AZd2","0",0
"418","2","AZd2","0",0
"419","3","AZd2","0",0
"420","4","AZd2","0",0
"421","5","AZd2","0",0
"422","6","AZd2","0",0
"423","7","AZd2","0",0
"424","NaN","AZd2","0",0
"425","1","AZd3","0",18
"426","2","AZd3","0",1
"427","3","AZd3","0",0
"428","4","AZd3","0",5
"429","5","AZd3","0",0
"430","6","AZd3","0",0
"431","7","AZd3","0",0
"432","NaN","AZd3","0",0
"433","1","AZd4","0",0
"434","2","AZd4","0",0
"435","3","AZd4","0",0
"436","4","AZd4","0",0
"437","5","AZd4","0",0
"438","6","AZd4","0",0
"439","7","AZd4","0",0
"440","NaN","AZd4","0",0
"441","1","AZi1","0",0
"442","2","AZi1","0",0
"443","3","AZi1","0",0
"444","4","AZi1","0",0
"445","5","AZi1","0",0
"446","6","AZi1","0",0
"447","7","AZi1","0",0
"448","NaN","AZi1","0",0
"449","1","AZi3","0",0
"450","2","AZi3","0",0
"451","3","AZi3","0",0
"452","4","AZi3","0",0
"453","5","AZi3","0",0
"454","6","AZi3","0",0
"455","7","AZi3","0",0
"456","NaN","AZi3","0",0
"457","1","AZi5","0",0
"458","2","AZi5","0",0
"459","3","AZi5","0",0
"460","4","AZi5","0",0
"461","5","AZi5","0",0
"462","6","AZi5","0",0
"463","7","AZi5","0",0
"464","NaN","AZi5","0",0
"465","1","AZi6","0",0
"466","2","AZi6","0",0
"467","3","AZi6","0",0
"468","4","AZi6","0",0
"469","5","AZi6","0",0
"470","6","AZi6","0",0
"471","7","AZi6","0",0
"472","NaN","AZi6","0",0
"473","1","AZi7","0",0
"474","2","AZi7","0",0
"475","3","AZi7","0",0
"476","4","AZi7","0",0
"477","5","AZi7","0",0
"478","6","AZi7","0",0
"479","7","AZi7","0",0
"480","NaN","AZi7","0",0
"481","1","AZi8","0",18575
"482","2","AZi8","0",4987
"483","3","AZi8","0",30
"484","4","AZi8","0",1106
"485","5","AZi8","0",26975
"486","6","AZi8","0",0
"487","7","AZi8","0",549
"488","NaN","AZi8","0",0
"489","1","AZs3","0",0
"490","2","AZs3","0",0
"491","3","AZs3","0",0
"492","4","AZs3","0",0
"493","5","AZs3","0",0
"494","6","AZs3","0",0
"495","7","AZs3","0",0
"496","NaN","AZs3","0",0
"497","1","CB1","0",0
"498","2","CB1","0",0
"499","3","CB1","0",0
"500","4","CB1","0",0
"501","5","CB1","0",0
"502","6","CB1","0",0
"503","7","CB1","0",0
"504","NaN","CB1","0",0
"505","1","CB2","0",0
"506","2","CB2","0",0
"507","3","CB2","0",0
"508","4","CB2","0",0
"509","5","CB2","0",0
"510","6","CB2","0",0
"511","7","CB2","0",0
"512","NaN","CB2","0",0
"513","1","CB3","0",38267
"514","2","CB3","0",36809
"515","3","CB3","0",619
"516","4","CB3","0",321652
"517","5","CB3","0",10949
"518","6","CB3","0",872
"519","7","CB3","0",303
"520","NaN","CB3","0",0
"521","1","CB4","0",0
"522","2","CB4","0",0
"523","3","CB4","0",0
"524","4","CB4","0",0
"525","5","CB4","0",0
"526","6","CB4","0",0
"527","7","CB4","0",0
"528","NaN","CB4","0",0
"529","1","CB5","0",0
"530","2","CB5","0",0
"531","3","CB5","0",0
"532","4","CB5","0",0
"533","5","CB5","0",0
"534","6","CB5","0",0
"535","7","CB5","0",0
"536","NaN","CB5","0",0
"537","1","CB6","0",28671
"538","2","CB6","0",15739
"539","3","CB6","0",176
"540","4","CB6","0",153845
"541","5","CB6","0",0
"542","6","CB6","0",368
"543","7","CB6","0",0
"544","NaN","CB6","0",0
"545","1","Dg1","0",0
"546","2","Dg1","0",0
"547","3","Dg1","0",0
"548","4","Dg1","0",0
"549","5","Dg1","0",0
"550","6","Dg1","0",0
"551","7","Dg1","0",0
"552","NaN","Dg1","0",0
"553","1","Dg10","0",0
"554","2","Dg10","0",0
"555","3","Dg10","0",0
"556","4","Dg10","0",0
"557","5","Dg10","0",0
"558","6","Dg10","0",0
"559","7","Dg10","0",0
"560","NaN","Dg10","0",0
"561","1","Dg2","0",0
"562","2","Dg2","0",0
"563","3","Dg2","0",0
"564","4","Dg2","0",0
"565","5","Dg2","0",0
"566","6","Dg2","0",0
"567","7","Dg2","0",0
"568","NaN","Dg2","0",0
"569","1","Dg3","0",0
"570","2","Dg3","0",0
"571","3","Dg3","0",0
"572","4","Dg3","0",0
"573","5","Dg3","0",0
"574","6","Dg3","0",0
"575","7","Dg3","0",0
"576","NaN","Dg3","0",0
"577","1","Dg4","0",0
"578","2","Dg4","0",0
"579","3","Dg4","0",0
"580","4","Dg4","0",0
"581","5","Dg4","0",0
"582","6","Dg4","0",0
"583","7","Dg4","0",0
"584","NaN","Dg4","0",0
"585","1","Dg5","0",0
"586","2","Dg5","0",0
"587","3","Dg5","0",0
"588","4","Dg5","0",0
"589","5","Dg5","0",0
"590","6","Dg5","0",0
"591","7","Dg5","0",0
"592","NaN","Dg5","0",0
"593","1","Dg6","0",0
"594","2","Dg6","0",0
"595","3","Dg6","0",0
"596","4","Dg6","0",0
"597","5","Dg6","0",0
"598","6","Dg6","0",0
"599","7","Dg6","0",0
"600","NaN","Dg6","0",0
"601","1","Dg7","0",0
"602","2","Dg7","0",0
"603","3","Dg7","0",0
"604","4","Dg7","0",0
"605","5","Dg7","0",0
"606","6","Dg7","0",0
"607","7","Dg7","0",0
"608","NaN","Dg7","0",0
"609","1","Dg8","0",0
"610","2","Dg8","0",0
"611","3","Dg8","0",0
"612","4","Dg8","0",0
"613","5","Dg8","0",0
"614","6","Dg8","0",0
"615","7","Dg8","0",0
"616","NaN","Dg8","0",0
"617","1","Dg9","0",0
"618","2","Dg9","0",0
"619","3","Dg9","0",0
"620","4","Dg9","0",0
"621","5","Dg9","0",0
"622","6","Dg9","0",0
"623","7","Dg9","0",0
"624","NaN","Dg9","0",0
"625","1","Dn1","0",0
"626","2","Dn1","0",0
"627","3","Dn1","0",0
"628","4","Dn1","0",0
"629","5","Dn1","0",0
"630","6","Dn1","0",0
"631","7","Dn1","0",0
"632","NaN","Dn1","0",0
"633","1","Dn2","0",0
"634","2","Dn2","0",0
"635","3","Dn2","0",0
"636","4","Dn2","0",0
"637","5","Dn2","0",0
"638","6","Dn2","0",0
"639","7","Dn2","0",0
"640","NaN","Dn2","0",0
"641","1","Dn3","0",0
"642","2","Dn3","0",0
"643","3","Dn3","0",0
"644","4","Dn3","0",0
"645","5","Dn3","0",0
"646","6","Dn3","0",0
"647","7","Dn3","0",0
"648","NaN","Dn3","0",0
"649","1","Dn4","0",0
"650","2","Dn4","0",0
"651","3","Dn4","0",0
"652","4","Dn4","0",0
"653","5","Dn4","0",0
"654","6","Dn4","0",0
"655","7","Dn4","0",0
"656","NaN","Dn4","0",0
"657","1","Dn5","0",0
"658","2","Dn5","0",0
"659","3","Dn5","0",0
"660","4","Dn5","0",0
"661","5","Dn5","0",0
"662","6","Dn5","0",0
"663","7","Dn5","0",0
"664","NaN","Dn5","0",0
"665","1","FFa1","0",0
"666","2","FFa1","0",0
"667","3","FFa1","0",0
"668","4","FFa1","0",0
"669","5","FFa1","0",0
"670","6","FFa1","0",0
"671","7","FFa1","0",0
"672","NaN","FFa1","0",0
"673","1","FFa2","0",233331
"674","2","FFa2","0",54939
"675","3","FFa2","0",4361
"676","4","FFa2","0",11697
"677","5","FFa2","0",167723
"678","6","FFa2","0",293
"679","7","FFa2","0",6061
"680","NaN","FFa2","0",0
"681","1","FFa3","0",219366
"682","2","FFa3","0",68179
"683","3","FFa3","0",8165
"684","4","FFa3","0",23890
"685","5","FFa3","0",116327
"686","6","FFa3","0",11
"687","7","FFa3","0",8784
"688","NaN","FFa3","0",0
"689","1","FFa4","0",3530
"690","2","FFa4","0",2365
"691","3","FFa4","0",8
"692","4","FFa4","0",611
"693","5","FFa4","0",5526
"694","6","FFa4","0",0
"695","7","FFa4","0",32
"696","NaN","FFa4","0",0
"697","1","FFb1","0",109177
"698","2","FFb1","0",1386
"699","3","FFb1","0",65
"700","4","FFb1","0",126
"701","5","FFb1","0",1687
"702","6","FFb1","0",3
"703","7","FFb1","0",176
"704","NaN","FFb1","0",0
"705","1","FFb2","0",152394
"706","2","FFb2","0",4127
"707","3","FFb2","0",79
"708","4","FFb2","0",27
"709","5","FFb2","0",361
"710","6","FFb2","0",0
"711","7","FFb2","0",456
"712","NaN","FFb2","0",0
"713","1","FFb3","0",0
"714","2","FFb3","0",0
"715","3","FFb3","0",0
"716","4","FFb3","0",0
"717","5","FFb3","0",0
"718","6","FFb3","0",0
"719","7","FFb3","0",0
"720","NaN","FFb3","0",0
"721","1","FFb4","0",62602
"722","2","FFb4","0",36
"723","3","FFb4","0",17
"724","4","FFb4","0",20
"725","5","FFb4","0",10
"726","6","FFb4","0",0
"727","7","FFb4","0",0
"728","NaN","FFb4","0",0
"729","1","FFb5","0",0
"730","2","FFb5","0",0
"731","3","FFb5","0",0
"732","4","FFb5","0",0
"733","5","FFb5","0",0
"734","6","FFb5","0",0
"735","7","FFb5","0",0
"736","NaN","FFb5","0",0
"737","1","FFb6","0",0
"738","2","FFb6","0",0
"739","3","FFb6","0",0
"740","4","FFb6","0",0
"741","5","FFb6","0",0
"742","6","FFb6","0",0
"743","7","FFb6","0",0
"744","NaN","FFb6","0",0
"745","1","FFc1","0",175733
"746","2","FFc1","0",33295
"747","3","FFc1","0",1534
"748","4","FFc1","0",2567
"749","5","FFc1","0",73431
"750","6","FFc1","0",45
"751","7","FFc1","0",11249
"752","NaN","FFc1","0",0
"753","1","FFd1","0",0
"754","2","FFd1","0",0
"755","3","FFd1","0",0
"756","4","FFd1","0",0
"757","5","FFd1","0",0
"758","6","FFd1","0",0
"759","7","FFd1","0",0
"760","NaN","FFd1","0",0
"761","1","FFd10","0",0
"762","2","FFd10","0",0
"763","3","FFd10","0",0
"764","4","FFd10","0",0
"765","5","FFd10","0",0
"766","6","FFd10","0",0
"767","7","FFd10","0",0
"768","NaN","FFd10","0",0
"769","1","FFd11","0",0
"770","2","FFd11","0",0
"771","3","FFd11","0",0
"772","4","FFd11","0",0
"773","5","FFd11","0",0
"774","6","FFd11","0",0
"775","7","FFd11","0",0
"776","NaN","FFd11","0",0
"777","1","FFd2","0",9290
"778","2","FFd2","0",2061
"779","3","FFd2","0",41
"780","4","FFd2","0",67
"781","5","FFd2","0",9777
"782","6","FFd2","0",1
"783","7","FFd2","0",0
